id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x000002279A87A448;cycle closer;out1;high pressure turbine;in1;['p'];[];nan;False;False;cycle closer:out1_high pressure turbine:in1;83.28262905318955;kg / s;False;83.28262905318955;False;nan;nan;nan;False;100.0;bar;False;100.0;True;nan;nan;nan;False;3501.958852501492;kJ / kg;False;3501.958852501492;False;nan;nan;nan;False;550.0000000000016;C;False;550.0000000000016;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;2.9693979336656393;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x000002279C1188C8;high pressure turbine;out1;extraction splitter;in1;['p'];[];nan;False;False;high pressure turbine:out1_extraction splitter:in1;83.28262905318955;kg / s;False;83.28262905318955;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;2922.77926830579;kJ / kg;False;2922.77926830579;False;nan;nan;nan;False;240.84372474678662;C;False;240.84372474678662;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;18.988437389790132;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C118F48;extraction splitter;out1;preheater;in1;[];[];nan;False;False;extraction splitter:out1_preheater:in1;11.768206333299823;kg / s;False;11.768206333299823;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;2922.77926830579;kJ / kg;False;2922.77926830579;False;nan;nan;nan;False;240.84372474678662;C;False;240.84372474678662;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;2.6831507565314707;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C11F5C8;extraction splitter;out2;low pressure turbine;in1;[];[];nan;False;False;extraction splitter:out2_low pressure turbine:in1;71.51442271988972;kg / s;False;71.51442271988972;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;2922.77926830579;kJ / kg;False;2922.77926830579;False;nan;nan;nan;False;240.84372474678662;C;False;240.84372474678662;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;16.30528663325866;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C11FC48;preheater;out1;valve;in1;[];[];nan;False;False;preheater:out1_valve:in1;11.768206333299823;kg / s;False;11.768206333299823;False;nan;nan;nan;False;9.9;bar;False;9.9;False;nan;nan;nan;False;760.5889240075029;kJ / kg;False;760.5889240075029;False;nan;nan;nan;False;179.4417534367198;C;False;179.4417534367198;False;nan;nan;nan;False;0.0;-;False;nan;False;nan;nan;nan;False;0.013258536443152112;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C132F88;valve;out1;waste steam merge;in2;[];[];nan;False;False;valve:out1_waste steam merge:in2;11.768206333299823;kg / s;False;11.768206333299823;False;nan;nan;nan;False;1.0887383095158842;bar;False;1.0887383095158842;False;nan;nan;nan;False;760.5889240075029;kJ / kg;False;760.5889240075029;False;nan;nan;nan;False;102.0;C;False;102.0;False;nan;nan;nan;False;0.1479197546624991;-;False;nan;False;nan;nan;nan;False;2.7337903243888104;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C136588;low pressure turbine;out1;waste steam merge;in1;[];[];nan;False;False;low pressure turbine:out1_waste steam merge:in1;71.51442271988972;kg / s;False;71.51442271988972;False;nan;nan;nan;False;1.0887383095158842;bar;False;1.0887383095158842;False;nan;nan;nan;False;2553.5312955228287;kJ / kg;False;2553.5312955228287;False;nan;nan;nan;False;102.0;C;False;102.0;False;nan;nan;nan;False;0.9443904287749062;-;False;nan;False;nan;nan;nan;False;105.66304635054455;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C136B48;waste steam merge;out1;condenser;in1;[];[];nan;False;False;waste steam merge:out1_condenser:in1;83.28262905318955;kg / s;False;83.28262905318955;False;nan;nan;nan;False;1.0887383095158842;bar;False;1.0887383095158842;False;nan;nan;nan;False;2300.1805546590563;kJ / kg;False;2300.1805546590563;False;nan;nan;nan;False;102.0;C;False;102.0;False;nan;nan;nan;False;0.8318455759294104;-;False;nan;False;nan;nan;nan;False;108.3968366749333;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C0ECA88;condenser;out1;pump;in1;[];[];nan;False;False;condenser:out1_pump:in1;83.28262905318955;kg / s;False;83.28262905318955;False;nan;nan;nan;False;1.0778509264207254;bar;False;1.0778509264207254;False;nan;nan;nan;False;426.4031835134008;kJ / kg;False;426.4031835134008;False;nan;nan;nan;False;101.71515707498509;C;False;101.71515707498509;False;nan;nan;nan;False;-2.5333522059845438e-15;-;False;nan;False;nan;nan;nan;False;0.0870145532993812;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C13E788;pump;out1;preheater;in2;[];[];nan;False;False;pump:out1_preheater:in2;83.28262905318955;kg / s;False;83.28262905318955;False;nan;nan;nan;False;106.32642211589581;bar;False;106.32642211589581;False;nan;nan;nan;False;440.1173768908078;kJ / kg;False;440.1173768908078;False;nan;nan;nan;False;103.10555098823073;C;False;103.10555098823073;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.08666170348287261;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C140088;preheater;out2;steam generator;in1;[];[];nan;False;False;preheater:out2_steam generator:in1;83.28262905318955;kg / s;False;83.28262905318955;False;nan;nan;nan;False;105.26315789473685;bar;False;105.26315789473685;False;nan;nan;nan;False;745.6445005280789;kJ / kg;False;745.6445005280789;False;nan;nan;nan;False;174.87800788187326;C;False;174.87800788187326;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.09268858765619388;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x000002279C140648;steam generator;out1;cycle closer;in1;[];[];nan;False;False;steam generator:out1_cycle closer:in1;83.28262905318955;kg / s;False;83.28262905318955;False;nan;nan;nan;False;100.0;bar;False;100.0;False;nan;nan;nan;False;3501.958852501492;kJ / kg;False;3501.958852501492;False;nan;nan;nan;False;550.0000000000016;C;False;550.0000000000016;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;2.9693979336656393;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
