id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Ar;Ar0;Ar_set;CH4;CH40;CH4_set;CO2;CO20;CO2_set;H2O;H2O0;H2O_set;N2;N20;N2_set;O2;O20;O2_set;balance
0x0000026C99BBFF88;ambient air;out1;compressor;in1;[];[];nan;False;False;235.04666247532043;kg / s;False;235.04666247532043;False;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;293.5615184542857;kJ / kg;False;293.5615184542857;False;nan;nan;nan;False;19.99999999999943;C;False;19.99999999999943;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;197.72955173895727;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;True;0.0;0.0;True;0.0004;0.0004;True;0.0;0.0;True;0.7553;0.7553;True;0.2314;0.2314;True;False
0x0000026C99BBFE48;compressor;out1;combustion;in1;[];[];nan;False;False;235.04666247532043;kg / s;False;235.04666247532043;False;nan;nan;nan;False;15.0;bar;False;15.0;False;nan;nan;nan;False;697.244684882985;kJ / kg;False;697.244684882985;False;nan;nan;nan;False;411.2361401961009;C;False;411.2361401961009;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;30.963680208978467;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;False;0.0;0.0;False;0.0004;0.0004;False;0.0;0.0;False;0.7553;0.7553;False;0.2314;0.2314;False;False
0x0000026C99BF2C88;fuel source;out1;fuel compressor;in1;[];[];nan;False;False;5.680972453719928;kg / s;False;5.680972453719928;False;nan;nan;nan;False;1.0;bar;False;1.0;False;0x0000026C99BBFF88;1.0;0.0;True;882.998782484736;kJ / kg;False;882.998782484736;False;nan;nan;nan;False;19.99999999999943;C;False;19.99999999999943;False;0x0000026C99BBFF88;1.0;0.0;True;nan;nan;False;nan;False;nan;nan;nan;False;8.395860637133975;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;0.96;0.96;True;0.04;0.04;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;False
0x0000026C99BF2B08;fuel compressor;out1;combustion;in2;[];[];nan;False;False;5.680972453719928;kg / s;False;5.680972453719928;False;nan;nan;nan;False;15.0;bar;False;15.0;False;nan;nan;nan;False;1522.6780054312217;kJ / kg;False;1522.6780054312217;False;nan;nan;nan;False;272.39747274198;C;False;272.39747274198;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1.0449118957184553;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.96;0.96;False;0.04;0.04;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;False
0x0000026C99BF2548;combustion;out1;gas turbine;in1;[];[];nan;False;False;240.72763492904033;kg / s;False;240.72763492904033;False;nan;nan;nan;False;15.0;bar;False;15.0;False;nan;nan;nan;False;1967.5095965445234;kJ / kg;False;1967.5095965445234;False;nan;nan;nan;False;1320.4575481355073;C;False;1320.4575481355073;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;74.9703432162413;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703067388;0.012595570703067388;False;0.0;0.0;False;0.06348396331864424;0.06348396331864424;False;0.050881337735412285;0.050881337735412285;False;0.7374755466689168;0.7374755466689168;False;0.13556349119490604;0.13556349119490604;False;False
0x0000026C99BF2788;gas turbine;out1;superheater;in1;[];[];nan;False;False;240.72763492904033;kg / s;False;240.72763492904033;False;nan;nan;nan;False;1.0512223551709319;bar;False;1.0512223551709319;False;nan;nan;nan;False;1133.7139277244637;kJ / kg;False;1133.7139277244637;False;nan;nan;nan;False;658.1865267256945;C;False;658.1865267256945;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;623.3884682186208;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703067388;0.012595570703067388;False;0.0;0.0;False;0.06348396331864424;0.06348396331864424;False;0.050881337735412285;0.050881337735412285;False;0.7374755466689168;0.7374755466689168;False;0.13556349119490604;0.13556349119490604;False;False
0x0000026C99C900C8;superheater;out1;evaporator;in1;[];[];nan;False;False;240.72763492904033;kg / s;False;240.72763492904033;False;nan;nan;nan;False;1.0407101316192224;bar;False;1.0407101316192224;False;nan;nan;nan;False;970.2322984029979;kJ / kg;False;970.2322984029979;False;nan;nan;nan;False;519.2549708180694;C;False;519.2549708180694;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;535.7484064881778;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703067388;0.012595570703067388;False;0.0;0.0;False;0.06348396331864424;0.06348396331864424;False;0.050881337735412285;0.050881337735412285;False;0.7374755466689168;0.7374755466689168;False;0.13556349119490604;0.13556349119490604;False;False
0x0000026C99873C88;evaporator;out1;economizer;in1;[];[];nan;False;False;240.72763492904033;kg / s;False;240.72763492904033;False;nan;nan;nan;False;1.0303030303030303;bar;False;1.0303030303030303;False;nan;nan;nan;False;780.7282058133403;kJ / kg;False;780.7282058133403;False;nan;nan;nan;False;352.4295730098464;C;False;352.4295730098464;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;427.19501509662166;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703067388;0.012595570703067388;False;0.0;0.0;False;0.06348396331864424;0.06348396331864424;False;0.050881337735412285;0.050881337735412285;False;0.7374755466689168;0.7374755466689168;False;0.13556349119490604;0.13556349119490604;False;False
0x0000026C997DEBC8;economizer;out1;chimney;in1;['T'];[];nan;False;False;240.72763492904033;kg / s;False;240.72763492904033;False;nan;nan;nan;False;1.02;bar;False;1.02;True;nan;nan;nan;False;552.0179621638996;kJ / kg;False;552.0179621638996;False;nan;nan;nan;False;142.00000000349507;C;False;142.00000000349507;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;286.13607298120877;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703067388;0.012595570703067388;False;0.0;0.0;False;0.06348396331864424;0.06348396331864424;False;0.050881337735412285;0.050881337735412285;False;0.7374755466689168;0.7374755466689168;False;0.13556349119490604;0.13556349119490604;False;False
0x0000026C99BFA488;economizer;out2;drum;in1;[];[];nan;False;False;40.78710771091199;kg / s;False;40.78710771091199;False;nan;nan;nan;False;132.6530612244898;bar;False;132.6530612244898;False;nan;nan;nan;False;1537.840780469055;kJ / kg;False;1537.840780469055;False;nan;nan;nan;False;331.86156656410776;C;False;331.86156656410776;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.06413610242995935;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
