id;source;source_id;target;target_id;design;offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Ar;Ar0;Ar_set;CH4;CH40;CH4_set;CO2;CO20;CO2_set;H2O;H2O0;H2O_set;N2;N20;N2_set;O2;O20;O2_set;balance
0x7f4234e377f0;ambient air;out1;compressor;in1;[];[];100.0;kg / s;False;100.0;True;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;293.5615184542856;kJ / kg;False;293.5615184542856;False;nan;nan;nan;False;20.000000000000114;C;False;20.000000000000114;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;84.12353090089888;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;True;0.0;0.0;True;0.0004;0.0004;True;0.0;0.0;True;0.7553;0.7553;True;0.2314;0.2314;True;False
0x7f4234e37c18;compressor;out1;combustion;in1;[];[];100.0;kg / s;False;100.0;False;nan;nan;nan;False;15.0;bar;False;15.0;False;nan;nan;nan;False;697.2446848829833;kJ / kg;False;697.2446848829833;False;nan;nan;nan;False;411.2361401961;C;False;411.2361401961;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;13.173418368461014;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;False;0.0;0.0;False;0.0004;0.0004;False;0.0;0.0;False;0.7553;0.7553;False;0.2314;0.2314;False;False
0x7f4234e37e48;fuel source;out1;fuel compressor;in1;[];[];2.416955167068765;kg / s;False;2.416955167068765;False;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;882.9987824838913;kJ / kg;False;882.9987824838913;False;nan;nan;nan;False;20.000000000065086;C;False;20.000000000065086;False;0x7f4234e377f0;1.0;0.0;True;nan;nan;False;nan;False;nan;nan;nan;False;3.5719973849947504;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;0.96;0.96;True;0.04;0.04;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;False
0x7f4234e37ac8;fuel compressor;out1;combustion;in2;[];[];2.4169551670687683;kg / s;False;2.4169551670687683;False;nan;nan;nan;False;15.0;bar;False;15.0;False;nan;nan;nan;False;1522.6780054331118;kJ / kg;False;1522.6780054331118;False;nan;nan;nan;False;272.39747274260844;C;False;272.39747274260844;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0.4445550873667032;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.96;0.96;False;0.04;0.04;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f4234e3f2e8;combustion;out1;gas turbine;in1;[];[];102.41695516706876;kg / s;False;102.41695516706876;False;nan;nan;nan;False;15.0;bar;False;15.0;False;nan;nan;nan;False;1967.5095965445685;kJ / kg;False;1967.5095965445685;False;nan;nan;nan;False;1320.457548135937;C;False;1320.457548135937;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;31.895940332330156;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703070342;0.012595570703070342;False;0.0;0.0;False;0.06348396331864437;0.06348396331864437;False;0.050881337735412376;0.050881337735412376;False;0.737475546668917;0.737475546668917;False;0.13556349119490593;0.13556349119490593;False;False
0x7f4234e3f518;gas turbine;out1;superheater;in1;[];[];102.41695516706876;kg / s;False;102.41695516706876;False;nan;nan;nan;False;1.0306101521283648;bar;False;1.0306101521283648;False;nan;nan;nan;False;1129.2809596558168;kJ / kg;False;1129.2809596558168;False;nan;nan;nan;False;654.4733499377692;C;False;654.4733499377692;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;269.4433145395432;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703070342;0.012595570703070342;False;0.0;0.0;False;0.06348396331864437;0.06348396331864437;False;0.050881337735412376;0.050881337735412376;False;0.737475546668917;0.737475546668917;False;0.13556349119490593;0.13556349119490593;False;False
0x7f4234e3f748;superheater;out1;evaporator;in1;[];[];102.41695516706876;kg / s;False;102.41695516706876;False;nan;nan;nan;False;1.020304050607081;bar;False;1.020304050607081;False;nan;nan;nan;False;950.9636102632927;kJ / kg;False;950.9636102632927;False;nan;nan;nan;False;502.59306089343113;C;False;502.59306089343113;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;227.60092755033912;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703070342;0.012595570703070342;False;0.0;0.0;False;0.06348396331864437;0.06348396331864437;False;0.050881337735412376;0.050881337735412376;False;0.737475546668917;0.737475546668917;False;0.13556349119490593;0.13556349119490593;False;False
0x7f4234e3fb38;evaporator;out1;economizer;in1;[];[];102.41695516706876;kg / s;False;102.41695516706876;False;nan;nan;nan;False;1.0101010101010102;bar;False;1.0101010101010102;False;nan;nan;nan;False;795.0138312877048;kJ / kg;False;795.0138312877048;False;nan;nan;nan;False;365.24336929966296;C;False;365.24336929966296;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;189.1826529025608;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703070342;0.012595570703070342;False;0.0;0.0;False;0.06348396331864437;0.06348396331864437;False;0.050881337735412376;0.050881337735412376;False;0.737475546668917;0.737475546668917;False;0.13556349119490593;0.13556349119490593;False;False
0x7f4234e3f278;economizer;out1;chimney;in1;['T'];[];102.41695516706876;kg / s;False;102.41695516706876;False;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;552.0196790709452;kJ / kg;False;552.0196790709452;False;nan;nan;nan;False;142.00000000000017;C;False;142.00000000000017;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;124.17201395716266;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012595570703070342;0.012595570703070342;False;0.0;0.0;False;0.06348396331864437;0.06348396331864437;False;0.050881337735412376;0.050881337735412376;False;0.737475546668917;0.737475546668917;False;0.13556349119490593;0.13556349119490593;False;False
0x7f4234e3fe80;economizer;out2;drum;in1;[];[];17.93528358508996;kg / s;False;17.93528358508996;False;nan;nan;nan;False;155.87529976019184;bar;False;155.87529976019184;False;nan;nan;nan;False;1702.9616980475487;kJ / kg;False;1702.9616980475487;False;nan;nan;nan;False;345.2433692995569;C;False;345.2433692995569;False;nan;nan;nan;False;0.07251489969888501;nan;False;nan;False;nan;nan;nan;False;0.040706329570275854;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f4234e3fe48;drum;out1;evaporator;in2;[];[];71.74113434035984;kg / s;False;71.74113434035984;False;nan;nan;nan;False;155.87529976019184;bar;False;155.87529976019184;False;nan;nan;nan;False;1633.3361406698896;kJ / kg;False;1633.3361406698896;False;nan;nan;nan;False;345.2433692995571;C;False;345.2433692995571;False;nan;nan;nan;False;0.0;nan;False;nan;False;nan;nan;nan;False;0.12103013774551498;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f4234e5c3c8;evaporator;out2;drum;in2;[];[];71.74113434035984;kg / s;False;71.74113434035984;False;0x7f4234e5c5f8;4.0;0.0;True;155.87529976019184;bar;False;155.87529976019184;False;nan;nan;nan;False;1855.9685490993681;kJ / kg;False;1855.9685490993681;False;nan;nan;nan;False;345.2433692995569;C;False;345.2433692995569;False;nan;nan;nan;False;0.2318712750752789;nan;False;nan;False;nan;nan;nan;False;0.2546730420731807;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f4234e5c5f8;drum;out2;superheater;in2;[];[];17.93528358508996;kg / s;False;17.93528358508996;False;nan;nan;nan;False;155.87529976019184;bar;False;155.87529976019184;False;nan;nan;nan;False;2593.4913317654623;kJ / kg;False;2593.4913317654623;False;nan;nan;nan;False;345.2433692995569;C;False;345.2433692995569;False;nan;nan;nan;False;1.0;nan;False;nan;False;nan;nan;nan;False;0.17434923389794152;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f4234e5c828;superheater;out2;ls sink;in1;['p'];[];17.93528358508996;kg / s;False;17.93528358508996;False;nan;nan;nan;False;130.0;bar;False;130.0;True;nan;nan;nan;False;3611.747881298191;kJ / kg;False;3611.747881298191;False;nan;nan;nan;False;604.4733499377701;C;False;604.4733499377701;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.5247107216108683;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;1.0;1.0;True;0.0;0.0;True;0.0;0.0;True;False
0x7f4234e5cba8;ls source;out1;steam turbine high pressure;in1;[];[];17.93528358508996;kg / s;False;17.93528358508996;False;nan;nan;nan;False;130.0;bar;False;130.0;False;0x7f4234e5c828;1.0;0.0;True;3611.747881298191;kJ / kg;False;3611.747881298191;False;0x7f4234e5c828;1.0;0.0;True;604.4733499377701;C;False;604.4733499377701;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.5247107216108683;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f4234e5cdd8;steam turbine high pressure;out1;mp split;in1;[];[];17.93528358508996;kg / s;False;17.93528358508996;False;nan;nan;nan;False;0.38595395847508307;bar;False;0.38595395847508307;False;nan;nan;nan;False;2473.897082543971;kJ / kg;False;2473.897082543971;False;nan;nan;nan;False;75.00000000003206;C;False;75.00000000003206;False;nan;nan;nan;False;0.9307474266225604;nan;False;nan;False;nan;nan;nan;False;68.9266545568778;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f4234e5c278;mp split;out1;district heating condenser;in1;[];[];16.141755226580962;kg / s;False;16.141755226580962;False;nan;nan;nan;False;0.38595395847508307;bar;False;0.38595395847508307;False;nan;nan;nan;False;2473.897082543971;kJ / kg;False;2473.897082543971;False;nan;nan;nan;False;75.00000000003206;C;False;75.00000000003206;False;nan;nan;nan;False;0.9307474266225604;nan;False;nan;False;nan;nan;nan;False;62.03398910119002;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f4234de6278;district heating condenser;out1;feed water pump 1;in1;[];[];16.141755226580962;kg / s;False;16.141755226580962;False;nan;nan;nan;False;0.38209441889033224;bar;False;0.38209441889033224;False;nan;nan;nan;False;313.0230920410561;kJ / kg;False;313.0230920410561;False;nan;nan;nan;False;74.7599647548169;C;False;74.7599647548169;False;nan;nan;nan;False;-3.9149334098864925e-15;nan;False;nan;False;nan;nan;nan;False;0.016556358100080867;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
