;P_max_woDH;eta_el_max;P_min_woDH;eta_el_min;H_L_FG_share_max;Q_CW_min;beta;Q_in
65;154359369.8220203;0.5659665979998171;58877882.99158096;0.46949558848863776;0.15950979065321402;9770059.21239458;0.13267968197586322;272735829.9368582
66;154191262.36744726;0.5653494674992319;58805713.06169942;0.46891998543015806;0.15983333276996403;9837706.77413185;0.13275077385769485;272736194.5691702
67;154022086.5682308;0.5647284230571401;58733558.657152675;0.4683445058853911;0.1601526366860121;9905782.059597343;0.13281263078813726;272736558.4583771
68;153851926.82617676;0.5641037588938203;58661738.433724016;0.46777169038188193;0.16047697467541355;9975564.748121366;0.13291672690228845;272736928.97893965
69;153678107.75641346;0.5634656736650201;58590100.27463748;0.467200326469537;0.1608025325237844;10045462.607288793;0.13300558591566475;272737302.26870036
70;153501682.75532746;0.5628180427924637;58518494.06452186;0.4666292171449498;0.16111155795283283;10118774.779221833;0.13307196431917542;272737672.0080213
71;153329466.50053602;0.56218584899054;58446514.7219059;0.4660551327511214;0.16141368450213778;10195651.041416407;0.13317594324496063;272738039.87747854
72;153150028.3067211;0.5615271654815917;58374401.64947997;0.4654799815856929;0.16171745905443258;10273173.831953347;0.13324789516507596;272738413.59994143
73;152969135.96998867;0.5608631503527027;58302484.41457925;0.46490639174439413;0.16202337353743457;10350887.389444545;0.133326667772782;272738788.1942198
77;152256509.8974397;0.5582471963831976;58016242.22530994;0.4626234092633603;0.16329069809123886;10658937.984234601;0.1338249308932018;272740303.72904235
78;152071648.83805767;0.557568619111543;57945005.83836393;0.4620552485340094;0.16361212431183536;10735796.869236574;0.13392439986754154;272740688.09750456
80;151693105.69999924;0.5561791207208407;57803287.58945742;0.4609249437007471;0.16424885661972533;10891359.071404234;0.13409549282465727;272741460.5269541
81;151511611.10798106;0.5555128800183572;57732680.93042348;0.46036180473261323;0.1645877491918305;10967066.682053968;0.13426017119045147;272741850.92337424
82;151329769.62125233;0.554845368198173;57662054.66509559;0.45979850951022677;0.16492738313025834;11042482.24224794;0.13442190773748705;272742241.8838724
83;151147511.06800276;0.5541763356290438;57591495.51107515;0.4592357496310634;0.16526787702612655;11117595.229489714;0.13458140945293073;272742629.6477198
84;150965043.78018644;0.5535065436815073;57521169.12350501;0.45867484594797114;0.16560934784127912;11192393.427661002;0.13474215592834723;272743015.4232343
85;150781914.91031256;0.5528343247231906;57451069.269875966;0.45811574875333966;0.165951901266711;11266865.800529137;0.1349011608528635;272743402.8012108
86;150590352.2174928;0.5521311803002491;57381075.33641263;0.457557496426555;0.16629621621326984;11340842.616915032;0.13500422545963675;272743792.76244044
87;150398933.15142053;0.5514285633028465;57311277.56700786;0.45700080857491304;0.1666438096967413;11413924.036054969;0.13510716480209786;272744183.3092366
88;150209265.10742915;0.5507323660693092;57242110.285827406;0.45644914826428923;0.1669929656890805;11487183.783080295;0.1352392858429421;272744574.97296506
89;150023073.1681528;0.5500489123032682;57173247.11405043;0.4558999130330688;0.16734608714496146;11560622.883151054;0.13541491515350101;272744968.3337214
90;149836966.86691323;0.5493657733050049;57104541.201191574;0.4553519320656822;0.1677006803042007;11633627.90728946;0.13559227041364882;272745362.28474605
91;149654155.27805844;0.548694711874716;57035967.65848695;0.45480500696864484;0.16806279181804806;11705772.239324138;0.13580076279769704;272745758.32294357
92;149470593.5470451;0.5480209009009809;56967500.2293693;0.454258928280149;0.1684243191733319;11777720.968380123;0.1360025757797132;272746154.93917483
93;149286147.62772977;0.547343845494804;56899127.56671256;0.4537136054987075;0.16878683299207442;11849275.435630381;0.1361981786132845;272746553.8463737
94;149101534.01622996;0.5466661758114969;56830966.26254242;0.45316996820794847;0.1691502145529653;11920472.428136349;0.13639470735238407;272746953.4673453
95;148916842.66957828;0.5459882219876817;56763026.08972323;0.45262809446119046;0.16951398631238357;11991446.016173467;0.13659594695692612;272747353.6470134
96;148732116.5227244;0.5453101414313818;56694986.944138214;0.45208543177802235;0.16987814401672152;12062200.655482188;0.13679854304141514;272747754.3922404
97;148551034.21221146;0.5446454298580039;56626796.76863013;0.4515415650568202;0.17024272093226078;12132730.087862164;0.13702636063445722;272748151.49177074
98;148371734.52409482;0.5439872601743387;56558399.39994797;0.45099604644247016;0.17060774704759119;12203028.508497834;0.13726627917102502;272748546.4945341
99;148185620.71919715;0.5433041054197687;56489812.01697766;0.4504490129222309;0.17097325191671442;12273089.856737703;0.13746115198612885;272748943.4387868
100;148006370.32955918;0.5426461117686693;56421189.25988193;0.44990169750423253;0.17135064646297515;12341847.93027854;0.13771783906618135;272749342.74780995
101;147840060.16382036;0.542035562075644;56352388.556595765;0.4493529634349101;0.1717304428327805;12410173.531769693;0.13806344119507147;272749742.83548665
102;147674782.1360629;0.5414287973570396;56283427.62905753;0.4488029519891443;0.1721104613198987;12478266.42767325;0.13841605911355456;272750143.42962676
103;147510527.50248715;0.5408257855321565;56214261.96372288;0.4482513082027861;0.1724907165828341;12546122.50329405;0.13877504053949066;272750544.5350413
104;147347289.19282737;0.5402265006547298;56144890.075239465;0.44769802027149486;0.1728712237161939;12613737.683024392;0.13914026591565107;272750946.15730476
105;147185060.00267118;0.5396309162892536;56075346.20857935;0.4471433612394488;0.17325149497742243;12681244.736693487;0.1395130227410843;272751348.300765
106;147023842.820569;0.539039042972258;56005818.29504215;0.446588829481769;0.1736275577786811;12749729.312069684;0.13990339172345745;272751750.986126
107;146863694.13266566;0.538451087767115;55936101.7034704;0.44603279348073943;0.1740040974799557;12817937.660379842;0.1403005583954815;272752154.223868
108;146704289.19992238;0.5378658589829108;55866216.59920734;0.44547541403532304;0.17438110383450334;12885838.363757357;0.14070196248679626;272752558.5604858
109;146545438.21072382;0.5372826596753703;55796184.80584819;0.44491686516351653;0.17475829011784105;12953523.014933124;0.14110733784185597;272752964.5182808
110;146387605.30363178;0.536703193718667;55726005.42441478;0.44435713969486396;0.1751366173761526;13020728.225593954;0.14151799618247118;272753370.98211175
111;146230735.6135807;0.5361272599362648;55654479.006820485;0.44378667327284255;0.17550930470884152;13089284.449740559;0.14193074946091444;272753777.9574289
112;146074887.07143363;0.5355550706984794;55582424.46909822;0.44321199586733817;0.17587798963823942;13158768.871806785;0.14235341735386514;272754185.4489781
113;145920289.67283633;0.5349874692100298;55510236.74350289;0.4426362566512135;0.17624658156424644;13228204.661648199;0.1427869922101747;272754593.4642251
114;145766945.816148;0.5344244642371974;55437956.36306557;0.44205977886951736;0.17661527028690482;13297543.04969731;0.14323167420272614;272755002.00801295
115;145614599.91639507;0.5338651187028117;55365562.128220186;0.4414823934733474;0.17698463170299727;13366531.17819497;0.14368264039572917;272755411.08625
116;145463242.5324753;0.5333093979690784;55293049.62295683;0.44090406524605424;0.17735458703590012;13435188.76981245;0.14413985438937663;272755820.70449346
117;145312852.43916374;0.5327572241938563;55220417.07992114;0.4403247800909015;0.17772512737567492;13503491.437930405;0.14460263641198431;272756230.8686559
118;145167107.97395614;0.5322220805574049;55147651.7324454;0.4397444362620178;0.17810461339907846;13570605.4419014;0.14510520621925116;272756642.907262
119;145023969.24188805;0.5316964896078694;55074983.55499497;0.4391648675246584;0.17848886841396905;13636872.68171899;0.1456306205701055;272757056.095752
120;144881621.3073283;0.5311737984963509;55002297.59540886;0.43858515722133856;0.1788753133668981;13702306.488403246;0.14615812340497972;272757469.81018233
121;144739014.62921393;0.5306501588907455;54929450.31900981;0.4380041607996349;0.17926212878934678;13767383.696307987;0.14668183792190898;272757884.27496535
122;144594190.24470407;0.5301183877378022;54856509.74400214;0.43742242058327896;0.1796496090030375;13832057.413264364;0.14718960407196258;272758300.01245064
123;144450362.28017455;0.5295902703072864;54783451.29574569;0.43683974064259934;0.18003761022552134;13896362.59484844;0.1477026975925111;272758716.27392155
124;144308148.82394946;0.5290680726295716;54710293.63841578;0.43625626982629095;0.18042802982165473;13960052.861328796;0.1482271421554929;272759133.06714916
