;P_max_woDH;eta_el_max;P_min_woDH;eta_el_min;H_L_FG_share_max;Q_CW_min;beta;Q_in
65;154359369.8220203;0.5659665979998171;58971834.56179959;0.5290259649964136;0.23211614091243543;-10036077.584827822;0.13378717872829637;272735829.9368582
67;154022086.56965542;0.5647284230623929;58828363.53328368;0.5277386714171343;0.23270294577914477;-9885202.786222566;0.13393149994838968;272736558.4583629
69;153678107.7567554;0.56346567366632;58685345.166310474;0.5264554371841799;0.23329607439743738;-9730175.108950976;0.13413118767715737;272737302.268678
71;153329466.50141853;0.5621858489938661;58542915.30333922;0.5251774816203331;0.23385402516784456;-9565593.95562052;0.13431670667363485;272738039.8774347
73;152969135.96437332;0.5608631503322157;58399883.84445743;0.5238941287467327;0.23441072480929792;-9396013.461111799;0.13448080265326243;272738788.1941704
77;152256509.597481;0.5582471952834249;58115717.715310425;0.5213444385402893;0.2355677120264034;-9058094.825852308;0.13500716607034907;272740303.729031
81;151511611.10769564;0.5555128800174621;57833878.6033551;0.5188156249612849;0.23675191374848215;-8719413.47994532;0.13546632796994837;272741850.9232999
83;151147511.06650782;0.554176335623767;57693671.03667103;0.5175576061089355;0.23737283032216483;-8552858.498370808;0.13580096166042915;272742629.64761925
85;150781914.9111638;0.5528343247265444;57554423.777214736;0.516308202454576;0.23799726784294967;-8387465.008880705;0.1361365304802206;272743402.801096
87;150398933.1505567;0.5514285632999267;57415883.49140635;0.5150651418480953;0.23862893204707028;-8224100.900961388;0.1363592379966832;272744183.3091142
89;150023073.0566674;0.5500489118947892;57278765.16534621;0.5138348381953944;0.2392700490558891;-8060850.389444321;0.1366796596693461;272744968.3335854
91;149654155.2793695;0.5486947118798194;57142245.77936072;0.5126099087625375;0.23992432047796222;-7898806.800480757;0.13707638373202785;272745758.32279617
93;149286147.62794945;0.5473438454959162;57006175.911196105;0.5113890129979486;0.2405852857225524;-7738235.453354493;0.13748481195237464;272746553.8462208
95;148916842.6694929;0.5459882219877057;56870921.953086875;0.5101754372493986;0.24124910161072952;-7578924.050790813;0.13789451423520172;272747353.64684504
97;148551034.27017725;0.544645430070878;56735532.96373276;0.5089606512849778;0.24191434085297558;-7420459.556460921;0.1383367438567451;272748151.4915959
99;148185620.63899902;0.5433041051261174;56599380.30363121;0.5077390157386761;0.2425811798675702;-7262872.3935389295;0.1387832167066981;272748943.43859345
101;147840060.16420645;0.5420355620774902;56462964.313674;0.5065150187897833;0.24327233637332973;-7107928.523543362;0.1393993012524725;272749742.83527
103;147510527.50201285;0.5408257855304038;56325865.04170625;0.5052848933537569;0.24396630382222964;-6954046.066954754;0.14012490399995892;272750544.53504825
105;147185060.9241029;0.5396309196680273;56187957.82455614;0.5040475211568713;0.24466073124370957;-6800978.376702633;0.14087663306981016;272751348.30051786
107;146863694.13442537;0.5384510877739496;56049359.25020661;0.5028039480785327;0.2453477377325052;-6646546.286866039;0.14167337614192962;272752154.2236741
109;146545438.2112358;0.5372826596777679;55910085.21119739;0.5015543166995498;0.24603618744031794;-6493180.3131175;0.1424893184966495;272752964.5180166
111;146230735.61456975;0.5361272599407028;55768962.59267414;0.5002881033050848;0.24672163477147765;-6339685.74980643;0.14332131735926368;272753777.9570158
113;145920289.6723126;0.5349874692086493;55625399.037409395;0.49899999386952054;0.24739460128743837;-6183375.75665788;0.1441871134721646;272754593.46395
115;145614657.7857471;0.5338653308690378;55481307.396026425;0.4977071481370057;0.24806822321150235;-6027627.747912455;0.1450915798741461;272755411.0859987
117;145312893.639872;0.532757375246042;55336751.39380276;0.49641013778443804;0.2487442696509423;-5873225.020688284;0.1460198336374751;272756230.8691879
119;145023969.24196163;0.531696489607687;55191914.73184469;0.4951106108471375;0.2494412738300522;-5721814.534683984;0.14705585776134267;272757056.0959839
121;144739033.83222565;0.5306502292932821;55046961.238932215;0.4938100367972172;0.2501471105651334;-5573064.995344412;0.14811540900409575;272757884.2752759
123;144450334.80413368;0.5295901695729103;54901622.9092848;0.4925060111909551;0.25085482750569654;-5425778.5880754925;0.1491449261785373;272758716.2741826
