id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;air;air0;air_set;water;water0;water_set;balance
0x000002603D13CD48;coolant cycle closer;out1;condenser;in1;[];[];nan;False;False;199.00733461810202;kg / s;False;199.00733461810202;False;nan;nan;nan;False;56.64316912031982;bar;False;56.64316912031982;False;nan;nan;nan;False;1834.2214645263894;kJ / kg;False;1834.2214645263894;False;nan;nan;nan;False;149.90424936759786;C;False;149.90424936759786;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;5.974070043640016;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;0;0;True;False
0x000002603F3200C8;consumer back flow;out1;district heating pump;in1;[];[];nan;False;False;1193.6892541487957;kg / s;False;1193.6892541487957;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;210.19336370501006;kJ / kg;False;210.19336370501006;False;nan;nan;nan;False;50.00000000001535;C;False;50.00000000001535;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.2076657243300948;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;0;0;True;1;1;True;False
0x000002603DC3FA08;district heating pump;out1;condenser;in2;[];[];nan;False;False;1193.6892541487957;kg / s;False;1193.6892541487957;False;nan;nan;nan;False;10.20304050607081;bar;False;10.20304050607081;False;nan;nan;nan;False;210.2190408235795;kJ / kg;False;210.2190408235795;False;nan;nan;nan;False;50.001955701697796;C;False;50.001955701697796;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.2076560002602041;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000026039E16DC8;condenser;out2;consumer;in1;[];[];nan;False;False;1193.6892541487957;kg / s;False;1193.6892541487957;False;nan;nan;nan;False;10.1010101010101;bar;False;10.1010101010101;False;nan;nan;nan;False;377.76683377294086;kJ / kg;False;377.76683377294086;False;nan;nan;nan;False;90.00000000000153;C;False;90.00000000000153;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.2360547893040834;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000002603E41CF88;consumer;out1;consumer feed flow;in1;[];[];nan;False;False;1193.6892541487957;kg / s;False;1193.6892541487957;False;nan;nan;nan;False;10.0;bar;False;10.0;False;0x000002603F3200C8;1.0;0.0;True;210.19336370501006;kJ / kg;False;210.19336370501006;False;0x000002603F3200C8;1.0;0.0;True;50.00000000001535;C;False;50.00000000001535;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.2076657243300948;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000002603E41CAC8;condenser;out1;valve;in1;[];[];nan;False;False;199.00733461810202;kg / s;False;199.00733461810202;False;nan;nan;nan;False;56.07673742911662;bar;False;56.07673742911662;False;nan;nan;nan;False;829.2333801233551;kJ / kg;False;829.2333801233551;False;nan;nan;nan;False;94.50022719393888;C;False;94.50022719393888;False;nan;nan;nan;False;4.193884007504536e-16;nan;False;nan;False;nan;nan;nan;False;0.42209879765884917;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000026039E1FD08;valve;out1;drum;in1;[];[];nan;False;False;199.00733461810202;kg / s;False;199.00733461810202;False;nan;nan;nan;False;17.822960615646227;bar;False;17.822960615646227;False;nan;nan;nan;False;829.2333801233551;kJ / kg;False;829.2333801233551;False;nan;nan;nan;False;44.99238523906979;C;False;44.99238523906979;False;nan;nan;nan;False;0.2516666505377912;nan;False;nan;False;nan;nan;nan;False;3.8899729731815684;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000002603F379D88;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;248.75916827262753;kg / s;False;248.75916827262753;False;nan;nan;nan;False;17.822960615646227;bar;False;17.822960615646227;False;nan;nan;nan;False;558.5918685469227;kJ / kg;False;558.5918685469227;False;nan;nan;nan;False;44.99238523906979;C;False;44.99238523906979;False;nan;nan;nan;False;-1.7877741547223252e-15;nan;False;nan;False;nan;nan;nan;False;0.43544138571417923;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000026039E3B448;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;248.75916827262753;kg / s;False;248.75916827262753;False;0x0000026039E1FD08;1.25;0.0;True;18.002990520854777;bar;False;18.002990520854777;False;nan;nan;nan;False;558.6312598604848;kJ / kg;False;558.6312598604848;False;nan;nan;nan;False;45.000000000000284;C;False;45.000000000000284;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.43543380647088226;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000026039E3B7C8;evaporator;out2;drum;in2;[];[];nan;False;False;248.75916827262753;kg / s;False;248.75916827262753;False;nan;nan;nan;False;17.822960615646227;bar;False;17.822960615646227;False;nan;nan;nan;False;1202.3961022146414;kJ / kg;False;1202.3961022146414;False;nan;nan;nan;False;44.99238523906979;C;False;44.99238523906979;False;nan;nan;nan;False;0.5986666795697649;nan;False;nan;False;nan;nan;nan;False;10.966484136679165;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
