id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;air;air0;air_set;water;water0;water_set;balance
0x0000027014C8E308;coolant cycle closer;out1;condenser;in1;[];[];nan;False;False;0.1387027792651029;kg / s;False;0.1387027792651029;False;nan;nan;nan;False;56.03723416589488;bar;False;56.03723416589488;False;nan;nan;nan;False;1979.3184414251116;kJ / kg;False;1979.3184414251116;False;nan;nan;nan;False;195.16252455570668;C;False;195.16252455570668;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0050122345485858226;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;0;0;True;False
0x0000027011A51DC8;consumer back flow;out1;district heating pump;in1;[];[];nan;False;False;1.2722574541638838;kg / s;False;1.2722574541638838;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.003309940719;kJ / kg;False;252.003309940719;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0012934853768993137;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;0;0;True;1;1;True;False
0x00000270147C5DC8;district heating pump;out1;condenser;in2;[];[];nan;False;False;1.2722574541638838;kg / s;False;1.2722574541638838;False;nan;nan;nan;False;10.129951947128985;bar;False;10.129951947128985;False;nan;nan;nan;False;252.02033376260647;kJ / kg;False;252.02033376260647;False;nan;nan;nan;False;60.00146140947788;C;False;60.00146140947788;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0012934789042241138;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x00000270147C5488;condenser;out2;consumer;in1;[];[];nan;False;False;1.2722574541638838;kg / s;False;1.2722574541638838;False;nan;nan;nan;False;10.064649414239343;bar;False;10.064649414239343;False;nan;nan;nan;False;377.7640193602999;kJ / kg;False;377.7640193602999;False;nan;nan;nan;False;90.00000000014091;C;False;90.00000000014091;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0013174137393199281;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000027014C851C8;consumer;out1;consumer feed flow;in1;[];[];nan;False;False;1.2722574541638838;kg / s;False;1.2722574541638838;False;nan;nan;nan;False;10.0;bar;False;10.0;False;0x0000027011A51DC8;1.0;0.0;True;252.003309940719;kJ / kg;False;252.003309940719;False;0x0000027011A51DC8;1.0;0.0;True;59.99999999999221;C;False;59.99999999999221;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0012934853768993137;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000027013217A48;condenser;out1;valve;in1;[];[];nan;False;False;0.13870277926510294;kg / s;False;0.13870277926510294;False;nan;nan;nan;False;55.4768618242359;bar;False;55.4768618242359;False;nan;nan;nan;False;825.9288542565781;kJ / kg;False;825.9288542565781;False;nan;nan;nan;False;93.96675675241949;C;False;93.96675675241949;False;nan;nan;nan;False;6.949194328332885e-16;nan;False;nan;False;nan;nan;nan;False;0.0002933363318829768;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000027014CB4608;valve;out1;drum;in1;[];[];nan;False;False;0.13870277926510294;kg / s;False;0.13870277926510294;False;nan;nan;nan;False;7.884720998017427;bar;False;7.884720998017427;False;nan;nan;nan;False;825.9288542565781;kJ / kg;False;825.9288542565781;False;nan;nan;nan;False;17.402452302241386;C;False;17.402452302241386;False;nan;nan;nan;False;0.33532976649220464;nan;False;nan;False;nan;nan;nan;False;0.007675745058791777;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000002700F86CFC8;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;0.5548111170604118;kg / s;False;0.5548111170604118;False;nan;nan;nan;False;7.884720998017427;bar;False;7.884720998017427;False;nan;nan;nan;False;424.6045748229258;kJ / kg;False;424.6045748229258;False;nan;nan;nan;False;17.402452302241386;C;False;17.402452302241386;False;nan;nan;nan;False;1.1155667865505245e-15;nan;False;nan;False;nan;nan;nan;False;0.0009035973306054607;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x00000270142CA108;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;0.5548111170604118;kg / s;False;0.5548111170604118;False;0x0000027014CB4608;4.0;0.0;True;7.964364644462048;bar;False;7.964364644462048;False;nan;nan;nan;False;424.62118020151405;kJ / kg;False;424.62118020151405;False;nan;nan;nan;False;17.405142656926614;C;False;17.405142656926614;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0009035930566635216;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000027014CACFC8;evaporator;out2;drum;in2;[];[];nan;False;False;0.5548111170604118;kg / s;False;0.5548111170604118;False;nan;nan;nan;False;7.884720998017427;bar;False;7.884720998017427;False;nan;nan;nan;False;623.4747089254672;kJ / kg;False;623.4747089254672;False;nan;nan;nan;False;17.402452302241386;C;False;17.402452302241386;False;nan;nan;nan;False;0.1661675583769501;nan;False;nan;False;nan;nan;nan;False;0.015670227654507627;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
