id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;air;air0;air_set;water;water0;water_set;balance
0x0000024D5943CBC8;coolant cycle closer;out1;condenser;in1;[];[];nan;False;False;0.19896650345552183;kg / s;False;0.19896650345552183;False;nan;nan;nan;False;56.64316912031982;bar;False;56.64316912031982;False;nan;nan;nan;False;1834.2214645263903;kJ / kg;False;1834.2214645263903;False;nan;nan;nan;False;149.90424936759803;C;False;149.90424936759803;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.005972844318841055;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;0;0;True;False
0x0000024D5943CD08;consumer back flow;out1;district heating pump;in1;[];[];nan;False;False;1.5902862285154196;kg / s;False;1.5902862285154196;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.00330994078413;kJ / kg;False;252.00330994078413;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.001616820538120486;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;0;0;True;1;1;True;False
0x0000024D5943CF88;district heating pump;out1;condenser;in2;[];[];nan;False;False;1.5902862285154196;kg / s;False;1.5902862285154196;False;nan;nan;nan;False;10.20304050607081;bar;False;10.20304050607081;False;nan;nan;nan;False;252.0291133660603;kJ / kg;False;252.0291133660603;False;nan;nan;nan;False;60.0020932849165;C;False;60.0020932849165;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0016168077365526668;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000024D5943CE48;condenser;out2;consumer;in1;[];[];nan;False;False;1.5902862285154196;kg / s;False;1.5902862285154196;False;nan;nan;nan;False;10.1010101010101;bar;False;10.1010101010101;False;nan;nan;nan;False;377.76683377303544;kJ / kg;False;377.76683377303544;False;nan;nan;nan;False;89.99999999999739;C;False;89.99999999999739;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0016467274898294439;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000024D594424C8;consumer;out1;consumer feed flow;in1;[];[];nan;False;False;1.5902862285154196;kg / s;False;1.5902862285154196;False;nan;nan;nan;False;10.0;bar;False;10.0;False;0x0000024D5943CD08;1.0;0.0;True;252.00330994078413;kJ / kg;False;252.00330994078413;False;0x0000024D5943CD08;1.0;0.0;True;59.99999999999221;C;False;59.99999999999221;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.001616820538120486;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000024D57E421C8;condenser;out1;valve;in1;[];[];nan;False;False;0.19896650345552183;kg / s;False;0.19896650345552183;False;nan;nan;nan;False;56.07673742911662;bar;False;56.07673742911662;False;nan;nan;nan;False;829.2333801233551;kJ / kg;False;829.2333801233551;False;nan;nan;nan;False;94.50022719393888;C;False;94.50022719393888;False;nan;nan;nan;False;4.193884007504536e-16;nan;False;nan;False;nan;nan;nan;False;0.00042201219389288654;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000024D57E45C88;valve;out1;drum;in1;[];[];nan;False;False;0.19896650345552183;kg / s;False;0.19896650345552183;False;nan;nan;nan;False;4.974539407050706;bar;False;4.974539407050706;False;nan;nan;nan;False;829.2333801233551;kJ / kg;False;829.2333801233551;False;nan;nan;nan;False;3.998522452717907;C;False;3.998522452717907;False;nan;nan;nan;False;0.3746704326671079;nan;False;nan;False;nan;nan;nan;False;0.01894833538086434;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000024D5944B9C8;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;0.24870812931940228;kg / s;False;0.24870812931940228;False;nan;nan;nan;False;4.974539407050706;bar;False;4.974539407050706;False;nan;nan;nan;False;361.7016447791729;kJ / kg;False;361.7016447791729;False;nan;nan;nan;False;3.998522452717964;C;False;3.998522452717964;False;nan;nan;nan;False;-4.707712218243212e-16;nan;False;nan;False;nan;nan;nan;False;0.00039286806266790607;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000024D5944D448;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;0.24870812931940228;kg / s;False;0.24870812931940228;False;0x0000024D57E45C88;1.25;0.0;True;5.024787279849198;bar;False;5.024787279849198;False;nan;nan;nan;False;361.7115664239501;kJ / kg;False;361.7115664239501;False;nan;nan;nan;False;3.999999999999943;C;False;3.999999999999943;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00039286705191087694;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000024D5944D6C8;evaporator;out2;drum;in2;[];[];nan;False;False;0.24870812931940228;kg / s;False;0.24870812931940228;False;nan;nan;nan;False;4.974539407050706;bar;False;4.974539407050706;False;nan;nan;nan;False;985.9546250765203;kJ / kg;False;985.9546250765203;False;nan;nan;nan;False;3.998522452717964;C;False;3.998522452717964;False;nan;nan;nan;False;0.5002636538663133;nan;False;nan;False;nan;nan;nan;False;0.03149331191122182;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
