id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;air;air0;air_set;water;water0;water_set;balance
0x0000018DD2024DC8;coolant cycle closer;out1;condenser;in1;[];[];nan;False;False;19.90073346181007;kg / s;False;19.90073346181007;False;nan;nan;nan;False;56.64316912031969;bar;False;56.64316912031969;False;nan;nan;nan;False;1834.2214645263948;kJ / kg;False;1834.2214645263948;False;nan;nan;nan;False;149.90424936759928;C;False;149.90424936759928;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.5974070043640031;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;0;0;True;False
0x0000018DD2024D48;consumer back flow;out1;district heating pump;in1;[];[];nan;False;False;159.06125811133504;kg / s;False;159.06125811133504;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.00330994075156;kJ / kg;False;252.00330994075156;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.1617152335990288;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;0;0;True;1;1;True;False
0x0000018DD20249C8;district heating pump;out1;condenser;in2;[];[];nan;False;False;159.06125811133504;kg / s;False;159.06125811133504;False;nan;nan;nan;False;10.20304050607081;bar;False;10.20304050607081;False;nan;nan;nan;False;252.0291133659534;kJ / kg;False;252.0291133659534;False;nan;nan;nan;False;60.002093284894386;C;False;60.002093284894386;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.16171395317953846;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000018DD1FB7588;condenser;out2;consumer;in1;[];[];nan;False;False;159.06125811133504;kg / s;False;159.06125811133504;False;nan;nan;nan;False;10.1010101010101;bar;False;10.1010101010101;False;nan;nan;nan;False;377.7668337730244;kJ / kg;False;377.7668337730244;False;nan;nan;nan;False;89.99999999999739;C;False;89.99999999999739;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.16470654250921415;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000018DD1FB78C8;consumer;out1;consumer feed flow;in1;[];[];nan;False;False;159.06125811133504;kg / s;False;159.06125811133504;False;nan;nan;nan;False;10.0;bar;False;10.0;False;0x0000018DD2024D48;1.0;0.0;True;252.00330994075156;kJ / kg;False;252.00330994075156;False;0x0000018DD2024D48;1.0;0.0;True;59.99999999999221;C;False;59.99999999999221;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.1617152335990288;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000018DD1FB7508;condenser;out1;valve;in1;[];[];nan;False;False;19.90073346181007;kg / s;False;19.90073346181007;False;nan;nan;nan;False;56.07673742911649;bar;False;56.07673742911649;False;nan;nan;nan;False;829.233380123354;kJ / kg;False;829.233380123354;False;nan;nan;nan;False;94.50022719393866;C;False;94.50022719393866;False;nan;nan;nan;False;-4.1938840075045353e-16;nan;False;nan;False;nan;nan;nan;False;0.04220987976588432;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000018DD4D20CC8;valve;out1;drum;in1;[];[];nan;False;False;19.90073346181007;kg / s;False;19.90073346181007;False;nan;nan;nan;False;4.29364771817602;bar;False;4.29364771817602;False;nan;nan;nan;False;829.233380123354;kJ / kg;False;829.233380123354;False;nan;nan;nan;False;-0.0012370808408377343;C;False;-0.0012370808408377343;False;nan;nan;nan;False;0.3850960433667125;nan;False;nan;False;nan;nan;nan;False;2.236345430385687;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000018DD1E1D208;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;24.87591682726259;kg / s;False;24.87591682726259;False;nan;nan;nan;False;4.29364771817602;bar;False;4.29364771817602;False;nan;nan;nan;False;343.14893052120834;kJ / kg;False;343.14893052120834;False;nan;nan;nan;False;-0.0012370808408377343;C;False;-0.0012370808408377343;False;nan;nan;nan;False;1.057733434808275e-15;nan;False;nan;False;nan;nan;nan;False;0.038955425224969566;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000018DD4B83F08;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;24.87591682726259;kg / s;False;24.87591682726259;False;0x0000018DD4D20CC8;1.25;0.0;True;4.337017897147494;bar;False;4.337017897147494;False;nan;nan;nan;False;343.15742016465975;kJ / kg;False;343.15742016465975;False;nan;nan;nan;False;-5.684341886080802e-14;C;False;-5.684341886080802e-14;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0389553432750726;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x0000018DD47C5D08;evaporator;out2;drum;in2;[];[];nan;False;False;24.87591682726259;kg / s;False;24.87591682726259;False;nan;nan;nan;False;4.29364771817602;bar;False;4.29364771817602;False;nan;nan;nan;False;964.0750739428327;kJ / kg;False;964.0750739428327;False;nan;nan;nan;False;-0.0012370808408377343;C;False;-0.0012370808408377343;False;nan;nan;nan;False;0.4919231653066313;nan;False;nan;False;nan;nan;nan;False;3.5600889211855073;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
