id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;air;air0;air_set;water;water0;water_set;balance
0x000001F99DBE8F88;coolant cycle closer;out1;condenser;in1;[];[];nan;False;False;74.6277504817877;kg / s;False;74.6277504817877;False;nan;nan;nan;False;56.64316912031982;bar;False;56.64316912031982;False;nan;nan;nan;False;1834.2214645263969;kJ / kg;False;1834.2214645263969;False;nan;nan;nan;False;149.90424936760013;C;False;149.90424936760013;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;2.2402762663650115;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;0;0;True;False
0x000001F99DBE8C48;consumer back flow;out1;district heating pump;in1;[];[];nan;False;False;447.6334703058347;kg / s;False;447.6334703058347;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;210.19336370501006;kJ / kg;False;210.19336370501006;False;nan;nan;nan;False;50.00000000001535;C;False;50.00000000001535;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.45287464662382226;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;0;0;True;1;1;True;False
0x000001F99DBEF608;district heating pump;out1;condenser;in2;[];[];nan;False;False;447.6334703058347;kg / s;False;447.6334703058347;False;nan;nan;nan;False;10.20304050607081;bar;False;10.20304050607081;False;nan;nan;nan;False;210.2190408235795;kJ / kg;False;210.2190408235795;False;nan;nan;nan;False;50.001955701697796;C;False;50.001955701697796;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.45287100009761333;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001F99DBEF988;condenser;out2;consumer;in1;[];[];nan;False;False;447.6334703058347;kg / s;False;447.6334703058347;False;nan;nan;nan;False;10.1010101010101;bar;False;10.1010101010101;False;nan;nan;nan;False;377.76683377292727;kJ / kg;False;377.76683377292727;False;nan;nan;nan;False;90.00000000000165;C;False;90.00000000000165;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.4635205459890646;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001F99DBEFD08;consumer;out1;consumer feed flow;in1;[];[];nan;False;False;447.6334703058347;kg / s;False;447.6334703058347;False;nan;nan;nan;False;10.0;bar;False;10.0;False;0x000001F99DBE8C48;1.0;0.0;True;210.19336370501006;kJ / kg;False;210.19336370501006;False;0x000001F99DBE8C48;1.0;0.0;True;50.00000000001535;C;False;50.00000000001535;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.45287464662382226;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001F99DBEF0C8;condenser;out1;valve;in1;[];[];nan;False;False;74.6277504817877;kg / s;False;74.6277504817877;False;nan;nan;nan;False;56.07673742911662;bar;False;56.07673742911662;False;nan;nan;nan;False;829.2333801233551;kJ / kg;False;829.2333801233551;False;nan;nan;nan;False;94.50022719393888;C;False;94.50022719393888;False;nan;nan;nan;False;4.193884007504536e-16;-;False;nan;False;nan;nan;nan;False;0.15828704912206726;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001F99DBEF8C8;valve;out1;drum;in1;[];[];nan;False;False;74.6277504817877;kg / s;False;74.6277504817877;False;nan;nan;nan;False;4.135389732276592;bar;False;4.135389732276592;False;nan;nan;nan;False;829.2333801233551;kJ / kg;False;829.2333801233551;False;nan;nan;nan;False;-1.0011825768988274;C;False;-1.0011825768988274;False;nan;nan;nan;False;0.38767120943007577;-;False;nan;False;nan;nan;nan;False;8.74494513820013;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001F99DC08E48;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;93.28468810223463;kg / s;False;93.28468810223463;False;nan;nan;nan;False;4.135389732276592;bar;False;4.135389732276592;False;nan;nan;nan;False;338.525216672894;kJ / kg;False;338.525216672894;False;nan;nan;nan;False;-1.0011825768987705;C;False;-1.0011825768987705;False;nan;nan;nan;False;-3.797184248524915e-16;-;False;nan;False;nan;nan;nan;False;0.14577061304540145;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001F99DC08848;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;93.28468810223463;kg / s;False;93.28468810223463;False;0x000001F99DBEF8C8;1.25;0.0;True;4.177161345733932;bar;False;4.177161345733932;False;nan;nan;nan;False;338.5333759236527;kJ / kg;False;338.5333759236527;False;nan;nan;nan;False;-0.9999999999998295;C;False;-0.9999999999998295;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.1457703216143242;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001F99DC0C488;evaporator;out2;drum;in2;[];[];nan;False;False;93.28468810223463;kg / s;False;93.28468810223463;False;nan;nan;nan;False;4.135389732276592;bar;False;4.135389732276592;False;nan;nan;nan;False;958.5861939946689;kJ / kg;False;958.5861939946689;False;nan;nan;nan;False;-1.0011825768988274;C;False;-1.0011825768988274;False;nan;nan;nan;False;0.4898630324559387;-;False;nan;False;nan;nan;nan;False;13.774262791487647;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
