id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Ar;Ar0;Ar_set;CH4;CH40;CH4_set;CO2;CO20;CO2_set;H2O;H2O0;H2O_set;N2;N20;N2_set;O2;O20;O2_set;balance
0x7f23f0b94048;fuel;out1;internal combustion engine;in4;[];[];nan;False;False;3.5884666295374044;kg / s;False;3.5884666295374044;False;nan;nan;nan;False;1.05;bar;False;1.05;False;nan;nan;nan;False;898785.0530507289;J / kg;False;898785.0530507289;False;nan;nan;nan;False;19.999999999999943;C;False;19.999999999999943;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;5.182346814069135;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;1;1;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;False
0x7f23f0bf0fd0;ambient;out1;internal combustion engine;in3;[];[];nan;False;False;61.862729162132545;kg / s;False;61.862729162132545;False;nan;nan;nan;False;1.05;bar;False;1.05;True;nan;nan;nan;False;293554.05152146384;J / kg;False;293554.05152146384;False;nan;nan;nan;False;20.0;C;False;20.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;49.56212575380548;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;True;0;0;True;0.0004;0.0004;True;0.0;0.0;True;0.7553;0.7553;True;0.2314;0.2314;True;False
0x7f23f0b94470;internal combustion engine;out3;flue gas splitter;in1;[];[];nan;False;False;65.45119579166986;kg / s;False;65.45119579166986;False;nan;nan;nan;False;1.05;bar;False;1.05;False;nan;nan;nan;False;1198378.5701253815;J / kg;False;1198378.5701253815;False;nan;nan;nan;False;524.9010008296613;C;False;524.9010008296613;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;149.13361692973692;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012192736840616685;0.012192736840616685;False;0;0;False;0.1507824730051692;0.1507824730051692;False;0.12313510354778835;0.12313510354778835;False;0.7138894678850992;0.7138894678850992;False;0.0;0.0;False;False
0x7f23f0b946a0;flue gas splitter;out1;flue gas cooler;in1;[];[];nan;False;False;65.45119579166986;kg / s;False;65.45119579166986;False;nan;nan;nan;False;1.05;bar;False;1.05;False;nan;nan;nan;False;1198378.5701253815;J / kg;False;1198378.5701253815;False;nan;nan;nan;False;524.9010008296613;C;False;524.9010008296613;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;149.13361692973692;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012192736840616685;0.012192736840616685;False;0;0;False;0.1507824730051692;0.1507824730051692;False;0.12313510354778835;0.12313510354778835;False;0.7138894678850992;0.7138894678850992;False;0.0;0.0;False;False
0x7f23f0b94898;flue gas splitter;out2;chimney bypass;in1;[];[];nan;False;False;0.0;kg / s;False;0.0;False;0x7f23f0b94ac8;0.0;0.0;True;1.05;bar;False;1.05;False;nan;nan;nan;False;1198378.5701253815;J / kg;False;1198378.5701253815;False;nan;nan;nan;False;524.9010008296613;C;False;524.9010008296613;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0.0;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012192736840616685;0.012192736840616685;False;0;0;False;0.1507824730051692;0.1507824730051692;False;0.12313510354778835;0.12313510354778835;False;0.7138894678850992;0.7138894678850992;False;0.0;0.0;False;False
0x7f23f0b94ac8;flue gas cooler;out1;chimney;in1;['T'];[];nan;False;False;65.45119579166986;kg / s;False;65.45119579166986;False;nan;nan;nan;False;1.0395;bar;False;1.0395;False;nan;nan;nan;False;673617.2952173235;J / kg;False;673617.2952173235;False;nan;nan;nan;False;80.0;C;False;80.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;54.008881151467556;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012192736840616685;0.012192736840616685;False;0;0;False;0.1507824730051692;0.1507824730051692;False;0.12313510354778835;0.12313510354778835;False;0.7138894678850992;0.7138894678850992;False;0.0;0.0;False;False
0x7f2410426710;cooling water;out1;cooling water pump;in1;[];[];nan;False;False;517.057906185635;kg / s;False;517.057906185635;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252003.3099408167;J / kg;False;252003.3099408167;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.5256851421639703;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;0;0;True;0.0;0.0;True;1.0;1.0;True;0.0;0.0;True;0.0;0.0;True;False
0x7f23f0b94f60;cooling water pump;out1;cooling water splitter;in1;[];[];nan;False;False;517.057906185635;kg / s;False;517.057906185635;False;nan;nan;nan;False;10.411265822521234;bar;False;10.411265822521234;False;nan;nan;nan;False;252055.57547401835;J / kg;False;252055.57547401835;False;nan;nan;nan;False;60.004240035772;C;False;60.004240035772;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.5256767117063159;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f23f0bb4358;cooling water splitter;out1;internal combustion engine;in1;[];[];nan;False;False;258.5289530928174;kg / s;False;258.5289530928174;False;0x7f23f0bb4588;1.0;0.0;True;10.411265822521234;bar;False;10.411265822521234;False;nan;nan;nan;False;252055.57547401835;J / kg;False;252055.57547401835;False;nan;nan;nan;False;60.004240035772;C;False;60.004240035772;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.26283835585315785;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x7f23f0bb4588;cooling water splitter;out2;internal combustion engine;in2;[];[];nan;False;False;258.5289530928174;kg / s;False;258.5289530928174;False;nan;nan;nan;False;10.411265822521234;bar;False;10.411265822521234;False;nan;nan;nan;False;252055.57547401835;J / kg;False;252055.57547401835;False;nan;nan;nan;False;60.004240035772;C;False;60.004240035772;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.26283835585315785;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
