id;x;y
0x000001A05C85DD88;[0.5, 0.75, 0.9, 1.0, 1.05];[2.3, 2.18, 2.14, 2.1, 2.15]
0x000001A05C85DF88;[0.55, 0.66, 0.77, 0.88, 0.99, 1.1];[0.238, 0.219, 0.203, 0.19, 0.18, 0.173]
0x000001A05C85DF88;[0.55, 0.66, 0.77, 0.88, 0.99, 1.1];[0.238, 0.219, 0.203, 0.19, 0.18, 0.173]
0x000001A05C85D988;[0.5, 0.75, 0.9, 1.0];[0.32, 0.3067, 0.3, 0.295]
0x000001A05C8480C8;[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5];[0.0, 0.164, 0.283, 0.389, 0.488, 0.581, 0.67, 0.756, 0.84, 0.921, 1.0, 1.078, 1.154, 1.228, 1.302, 1.374, 1.446, 1.516, 1.585, 1.654, 1.722, 1.789, 1.855, 1.921, 1.986, 2.051]
0x000001A05C8489C8;[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5];[0.0, 0.245, 0.375, 0.48, 0.572, 0.655, 0.732, 0.804, 0.873, 0.938, 1.0, 1.06, 1.118, 1.174, 1.228, 1.281, 1.332, 1.382, 1.431, 1.479, 1.526, 1.572, 1.618, 1.662, 1.706, 1.749]
0x000001A05C83F688;[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5];[0.7, 0.7667, 0.8229, 0.8698, 0.9081, 0.9387, 0.9623, 0.9796, 0.9913, 0.9979, 1.0, 0.9981, 0.9926, 0.9839, 0.9725, 0.9586, 0.9426, 0.9248, 0.9055, 0.8848, 0.8631, 0.8405, 0.8171, 0.7932, 0.7689, 0.7444]
0x000001A05C83FB88;[0, 1, 2, 3];[1, 1, 1, 1]
0x000001A05C8323C8;[0.01, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.5, 2.0];[0.03, 0.158, 0.344, 0.469, 0.535, 0.59, 0.638, 0.68, 0.718, 0.752, 0.783, 0.812, 0.839, 0.864, 0.887, 0.909, 0.929, 0.948, 0.966, 0.984, 1.0, 1.128, 1.216]
0x000001A05C88CAC8;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[0.010309278350515464, 0.32453608247422683, 0.5511340206185567, 0.7054639175257732, 0.8077319587628866, 0.8739175257731959, 0.9159793814432989, 0.9427835051546392, 0.9606185567010309, 0.9735051546391753, 0.9841237113402063, 0.9936082474226804, 1.0024742268041238, 1.0109278350515465, 1.0183505154639176, 1.024536082474227, 1.0290721649484535, 1.0318556701030928, 1.0329896907216496, 1.0324742268041238, 1.0309278350515465, 1.028556701030928, 1.0254639175257731, 1.0215463917525773, 1.0157731958762886, 0.9942268041237114]
0x000001A05C887F48;[0.1, 0.345, 0.359, 0.383, 0.41, 0.432, 0.451, 0.504, 0.541, 0.6, 0.684, 0.805, 1.0, 1.7, 10.0];[-0.960384, -0.9731759999999999, -0.97416, -0.975144, -0.976128, -0.977112, -0.978096, -0.97908, -0.9800639999999999, -0.981048, -0.982032, -0.983016, -0.984, -0.983016, -0.97416]
0x000001A05C874E88;[0, 1, 2, 3];[-1, -1, -1, -1]
0x000001A05C877108;[0, 1, 2, 3];[1, 1, 1, 1]
0x000001A05C86F508;[0, 1, 2, 3];[1, 1, 1, 1]
0x000001A05C87EE08;[0.1, 0.345, 0.359, 0.383, 0.41, 0.432, 0.451, 0.504, 0.541, 0.6, 0.684, 0.805, 1.0, 1.7, 10.0];[-0.960384, -0.9731759999999999, -0.97416, -0.975144, -0.976128, -0.977112, -0.978096, -0.97908, -0.9800639999999999, -0.981048, -0.982032, -0.983016, -0.984, -0.983016, -0.97416]
