id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Ar;Ar0;Ar_set;CH4;CH40;CH4_set;CO2;CO20;CO2_set;H2O;H2O0;H2O_set;N2;N20;N2_set;O2;O20;O2_set;balance
0x000002189AF2A3C8;fuel;out1;internal combustion engine;in4;[];[];nan;False;False;1.1995670148390922;kg / s;False;1.1995670148390922;False;nan;nan;nan;False;1.05;bar;False;1.05;False;nan;nan;nan;False;898785.0530506914;J / kg;False;898785.0530506914;False;nan;nan;nan;False;20.00000000000273;C;False;20.00000000000273;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.7323756744575944;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;1;1;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;False
0x000002189AF38FC8;ambient;out1;internal combustion engine;in3;[];[];nan;False;False;20.679721176725828;kg / s;False;20.679721176725828;False;nan;nan;nan;False;1.05;bar;False;1.05;True;nan;nan;nan;False;293554.0515214639;J / kg;False;293554.0515214639;False;nan;nan;nan;False;20.0;C;False;20.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;16.567826143401078;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;True;0;0;True;0.0004;0.0004;True;0.0;0.0;True;0.7553;0.7553;True;0.2314;0.2314;True;False
0x000002189AF2A648;internal combustion engine;out3;flue gas splitter;in1;[];[];nan;False;False;21.87928819156492;kg / s;False;21.87928819156492;False;nan;nan;nan;False;1.05;bar;False;1.05;False;nan;nan;nan;False;1198378.57012538;J / kg;False;1198378.57012538;False;nan;nan;nan;False;524.9010008296602;C;False;524.9010008296602;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;49.852983499981185;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012192736840616683;0.012192736840616683;False;0;0;False;0.15078247300516917;0.15078247300516917;False;0.12313510354778834;0.12313510354778834;False;0.7138894678850992;0.7138894678850992;False;0.0;0.0;False;False
0x000002189AF2A8C8;flue gas splitter;out1;flue gas cooler;in1;[];[];nan;False;False;21.87928819156492;kg / s;False;21.87928819156492;False;nan;nan;nan;False;1.05;bar;False;1.05;False;nan;nan;nan;False;1198378.57012538;J / kg;False;1198378.57012538;False;nan;nan;nan;False;524.9010008296602;C;False;524.9010008296602;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;49.852983499981185;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012192736840616683;0.012192736840616683;False;0;0;False;0.15078247300516917;0.15078247300516917;False;0.12313510354778834;0.12313510354778834;False;0.7138894678850992;0.7138894678850992;False;0.0;0.0;False;False
0x000002189AF2AA08;flue gas splitter;out2;chimney bypass;in1;[];[];nan;False;False;0.0;kg / s;False;0.0;True;nan;nan;nan;False;1.05;bar;False;1.05;False;nan;nan;nan;False;1198378.57012538;J / kg;False;1198378.57012538;False;nan;nan;nan;False;524.9010008296602;C;False;524.9010008296602;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0.0;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012192736840616683;0.012192736840616683;False;0;0;False;0.15078247300516917;0.15078247300516917;False;0.12313510354778834;0.12313510354778834;False;0.7138894678850992;0.7138894678850992;False;0.0;0.0;False;False
0x000002189AF2AD88;flue gas cooler;out1;chimney;in1;['T'];[];nan;False;False;21.87928819156492;kg / s;False;21.87928819156492;False;nan;nan;nan;False;1.0395;bar;False;1.0395;False;nan;nan;nan;False;752617.1528852639;J / kg;False;752617.1528852639;False;nan;nan;nan;False;150.0000000000001;C;False;150.0000000000001;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;26.654498138117837;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.012192736840616683;0.012192736840616683;False;0;0;False;0.15078247300516917;0.15078247300516917;False;0.12313510354778834;0.12313510354778834;False;0.7138894678850992;0.7138894678850992;False;0.0;0.0;False;False
0x000002189C88E7C8;cooling water;out1;cooling water pump;in1;[];[];nan;False;False;119.38768892863501;kg / s;False;119.38768892863501;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;210193.36370488178;J / kg;False;210193.36370488178;False;nan;nan;nan;False;50.00000000001535;C;False;50.00000000001535;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.12078555564187379;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;0;0;True;0.0;0.0;True;1.0;1.0;True;0.0;0.0;True;0.0;0.0;True;False
0x000002189AF34708;cooling water pump;out1;cooling water splitter;in1;[];[];nan;False;False;119.38768892863501;kg / s;False;119.38768892863501;False;nan;nan;nan;False;10.411265822521234;bar;False;10.411265822521234;False;nan;nan;nan;False;210245.37339907236;J / kg;False;210245.37339907236;False;nan;nan;nan;False;50.00396136839436;C;False;50.00396136839436;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.12078358575957913;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x000002189AF3B848;cooling water splitter;out1;internal combustion engine;in1;[];[];nan;False;False;59.69384446431752;kg / s;False;59.69384446431752;False;0x000002189AF3BAC8;1.0;0.0;True;10.411265822521234;bar;False;10.411265822521234;False;nan;nan;nan;False;210245.37339907236;J / kg;False;210245.37339907236;False;nan;nan;nan;False;50.00396136839436;C;False;50.00396136839436;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.06039179287978958;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
0x000002189AF3BAC8;cooling water splitter;out2;internal combustion engine;in2;[];[];nan;False;False;59.69384446431752;kg / s;False;59.69384446431752;False;nan;nan;nan;False;10.411265822521234;bar;False;10.411265822521234;False;nan;nan;nan;False;210245.37339907236;J / kg;False;210245.37339907236;False;nan;nan;nan;False;50.00396136839436;C;False;50.00396136839436;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.06039179287978958;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0;0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
