plant;parameter;unit;value
EHK;active;-;1
EHK;Q_N;MW;75
EHK;eta;-;0.99
EHK;op_cost_var;€/MWh;0.5
EHK;op_cost_fix;€/MW;1100
EHK;inv_spez;€/MW;80000
SLK;active;-;1
SLK;Q_N;MW;75
SLK;eta;-;0.88
SLK;op_cost_var;€/MWh;1.1
SLK;op_cost_fix;€/MW;2000
SLK;inv_spez;€/MW;60000
BHKW;active;-;1
BHKW;Q_N;MW;73.5
BHKW;Q_in;MW;220.4506659
BHKW;P_max_woDH;MW;103.2900785
BHKW;P_min_woDH;MW;51.38135867
BHKW;H_L_FG_share_max;-;0.192874083
BHKW;H_L_FG_share_min;-;0.36399976
BHKW;Eta_el_max_woDH;-;0.468502638
BHKW;Eta_el_min_woDH;-;0.425595905
BHKW;op_cost_var;€/MWh;10
BHKW;op_cost_fix;€/MW;10000
BHKW;inv_spez;€/MW;1000000
GuD;active;-;1
GuD;Q_N;MW;71
GuD;Q_in;MW;258.1878319
GuD;P_max_woDH;MW;146.2384713
GuD;P_min_woDH;MW;54.35741321
GuD;Eta_el_max_woDH;-;0.566403421
GuD;Eta_el_min_woDH;-;0.457824682
GuD;H_L_FG_share_max;-;0.133211158
GuD;Q_CW_min;MW;15.37140763
GuD;beta;-;0.171667949
GuD;op_cost_var;€/MWh;4.5
GuD;op_cost_fix;€/MW;30000
GuD;inv_spez;€/MW;1000000
BPT;active;-;0
HP;active;-;1
HP;Q_N;MW;75
HP;op_cost_var;€/MWh;0.88
HP;op_cost_fix;€/MW;881
HP;inv_spez;€/MW;220350
LT-HP;active;-;1
Sol;active;-;1
Sol;A;m2;107434
TES;active;-;1
TES;Q;MWh;150000
TES;op_cost_var;€/MW;0.66
TES;op_cost_fix;€/MW;88
TES;inv_spez;€/MW;18750
TES;min_uptime;-;3
TES;init_status;-;0
TES;init_storage;-;0.1
TES;inflow_conv;-;1
TES;outflow_conv;-;0.75
param;gas_price;€/MWh;14.14
param;co2_certificate;€/MWh;1.07
param;elec_consumer_charges;€/MWh;85.51
param;heat_price;€/MWh;68.59
param;energy_tax;€/MWh;5.5
