Date;T_VL;T_RL;T_U
01.01.2016 00:00;96;50;3.641
01.01.2016 01:00;96;50;3.321
01.01.2016 02:00;97;50;3.148
01.01.2016 03:00;98;50;3.077
01.01.2016 04:00;99;50;3.119
01.01.2016 05:00;100;50;3.12
01.01.2016 06:00;103;50;3.161
01.01.2016 07:00;103;50;3.553
01.01.2016 08:00;103;50;3.994
01.01.2016 09:00;102;50;4.514
01.01.2016 10:00;102;50;5.19
01.01.2016 11:00;102;50;5.726
01.01.2016 12:00;102;50;5.893
01.01.2016 13:00;102;50;5.4
01.01.2016 14:00;102;50;4.439
01.01.2016 15:00;100;50;4.156
01.01.2016 16:00;100;50;4.211
01.01.2016 17:00;100;50;3.647
01.01.2016 18:00;100;50;2.664
01.01.2016 19:00;100;50;2.037
01.01.2016 20:00;100;50;2.198
01.01.2016 21:00;100;50;2.696
01.01.2016 22:00;100;50;2.921
01.01.2016 23:00;98;50;2.98
02.01.2016 00:00;96;50;3.043
02.01.2016 01:00;97;50;3.061
02.01.2016 02:00;95;50;2.959
02.01.2016 03:00;95;50;2.739
02.01.2016 04:00;96;50;2.599
02.01.2016 05:00;96;50;2.488
02.01.2016 06:00;98;50;2.382
02.01.2016 07:00;98;50;2.107
02.01.2016 08:00;98;50;1.655
02.01.2016 09:00;100;50;1.198
02.01.2016 10:00;102;50;0.786
02.01.2016 11:00;103;50;0.385
02.01.2016 12:00;103;50;-0.111
02.01.2016 13:00;103;50;-0.639
02.01.2016 14:00;103;50;-1.225
02.01.2016 15:00;105;50;-1.83
02.01.2016 16:00;107;50;-2.342
02.01.2016 17:00;108;50;-2.873
02.01.2016 18:00;109;50;-3.311
02.01.2016 19:00;109;50;-3.629
02.01.2016 20:00;107;50;-3.908
02.01.2016 21:00;108;50;-4.162
02.01.2016 22:00;108;50;-4.346
02.01.2016 23:00;107;50;-4.494
03.01.2016 00:00;107;50;-4.575
03.01.2016 01:00;109;50;-4.55
03.01.2016 02:00;110;50;-4.502
03.01.2016 03:00;111;50;-4.564
03.01.2016 04:00;111;50;-4.654
03.01.2016 05:00;111;50;-4.684
03.01.2016 06:00;111;50;-4.778
03.01.2016 07:00;112;50;-4.949
03.01.2016 08:00;112;50;-4.947
03.01.2016 09:00;111;50;-4.755
03.01.2016 10:00;112;50;-4.598
03.01.2016 11:00;114;50;-4.496
03.01.2016 12:00;114;50;-4.4
03.01.2016 13:00;113;50;-4.257
03.01.2016 14:00;113;50;-4.261
03.01.2016 15:00;112;50;-4.308
03.01.2016 16:00;111;50;-4.479
03.01.2016 17:00;113;50;-4.893
03.01.2016 18:00;113;50;-5.346
03.01.2016 19:00;113;50;-5.658
03.01.2016 20:00;114;50;-5.848
03.01.2016 21:00;116;50;-5.861
03.01.2016 22:00;112;50;-5.829
03.01.2016 23:00;111;50;-5.846
04.01.2016 00:00;111;50;-5.797
04.01.2016 01:00;111;50;-5.721
04.01.2016 02:00;111;50;-5.718
04.01.2016 03:00;112;50;-5.763
04.01.2016 04:00;114;50;-5.853
04.01.2016 05:00;116;50;-5.927
04.01.2016 06:00;117;50;-6.001
04.01.2016 07:00;117;50;-6.046
04.01.2016 08:00;117;50;-5.91
04.01.2016 09:00;117;50;-5.355
04.01.2016 10:00;118;50;-4.652
04.01.2016 11:00;116;50;-4.057
04.01.2016 12:00;114;50;-3.699
04.01.2016 13:00;115;50;-3.662
04.01.2016 14:00;117;50;-3.951
04.01.2016 15:00;116;50;-4.204
04.01.2016 16:00;116;50;-4.208
04.01.2016 17:00;116;50;-4.227
04.01.2016 18:00;116;50;-4.32
