T_DH_VL / C;P_max / MW;P_min / MW;c_1;c_0
65;30.2355254;10.48561214;3.044743127;-8.505872044
66;30.15316502;10.52455982;3.060312494;-9.010668879
67;30.13754177;10.56108226;3.064964826;-9.397169242
68;30.10868425;10.63174831;3.076989314;-9.968935641
69;30.02026578;10.70031078;3.098451847;-10.63868916
70;30.07199011;10.76674261;3.096725535;-11.05691694
71;30.17856258;10.83203735;3.086262439;-11.38277891
72;30.31743675;10.89493016;3.070361298;-11.64261303
73;30.47501682;10.95706309;3.051077834;-11.86269866
74;30.64081952;11.01714542;3.030356847;-12.05996926
75;30.81283503;11.07461208;3.008497627;-12.23591187
76;30.98957899;11.13511045;2.986611546;-12.41974211
77;31.17833054;11.21255223;2.965244188;-12.65862284
78;31.36894828;11.2893905;2.943816771;-12.8958773
79;31.56066353;11.364841;2.922283485;-13.12725313
80;31.75322906;11.43850981;2.9005617;-13.34945067
81;31.94886174;11.51039055;2.878341145;-13.55894638
82;32.15263484;11.58047388;2.854594113;-13.74381889
83;32.35792324;11.64874861;2.83051922;-13.91780415
84;32.56341053;11.71959016;2.807000169;-14.10360119
85;32.7689393;11.80115459;2.785115525;-14.33658584
86;32.97730073;11.88308358;2.763073098;-14.56652432
87;33.18704183;11.96300778;2.740758456;-14.78549944
88;33.39683606;12.04110712;2.718372526;-14.99649984
89;33.60912895;12.11751156;2.69540273;-15.19378411
90;33.82171131;12.19293639;2.67254269;-15.38996733
91;34.0403224;12.26684169;2.648716097;-15.56839214
92;34.25892976;12.33920125;2.624892675;-15.74055989
93;34.47740138;12.41535884;2.601716896;-15.92850174
94;34.69573394;12.49824752;2.579498977;-16.14356649
95;34.9153716;12.58159688;2.557311063;-16.35785515
96;35.13662371;12.66381162;2.534933773;-16.56455258
97;35.35770796;12.74490215;2.512571269;-16.76635103
98;35.58189366;12.82487485;2.489575255;-16.95506992
99;35.80654297;12.90373289;2.466467192;-17.13741451
100;36.03446174;12.98147701;2.443018342;-17.31051627
101;36.26249536;13.05978081;2.419744664;-17.48521477
102;36.49017739;13.14129955;2.396954027;-17.67198082
103;36.71748393;13.22186914;2.374200216;-17.85499014
104;36.94758561;13.30148415;2.351159378;-18.03006828
105;37.18358793;13.38013839;2.32753388;-18.19329584
106;37.41925611;13.45782505;2.303943762;-18.35302012
107;37.65458128;13.53453675;2.280378968;-18.50926301
108;37.88949053;13.61026561;2.256834492;-18.66212237
109;38.10234042;13.68500325;2.235276827;-18.83868648
110;38.30894517;13.76191425;2.214255697;-19.0273653
111;38.51587189;13.83798956;2.192930293;-19.20964587
112;38.72151659;13.92128809;2.172277787;-19.41641001
113;38.92580238;14.00402849;2.151580439;-19.62077296
114;39.1286671;14.08561017;2.130766787;-19.82069312
115;39.32995618;21.36903754;2.088717471;-19.1861971
116;39.52954175;21.4850665;2.067876025;-19.38329015
117;39.72727209;21.60003477;2.046866419;-19.57656252
118;39.92297726;21.71392008;2.025656815;-19.76597197
119;40.11647519;21.82701053;2.004240705;-19.95277319
120;40.30743354;21.94265944;1.982943756;-20.15173192
121;40.49551435;22.05716022;1.961301703;-20.34642936
122;40.68028735;22.17043178;1.939239644;-20.53651936
123;40.86119339;22.28236544;1.916660005;-20.72148592
124;41.03748741;22.39339417;1.893491184;-20.90297123
