;P_max_woDH;eta_el_max;P_min_woDH;eta_el_min;H_L_FG_share_max;Q_CW_min;beta;Q_in
65;154359369.8220203;0.5660204211757904;58877882.99158096;0.46950043710751804;0.15950979065321402;9770059.21239458;0.13267968197586322;272709895.34506655
67;154022086.56965542;0.5647833409786097;58733558.35427885;0.46834954271911416;0.16015267702418057;9905771.058252633;0.13281255706968187;272710038.33572483
69;153678107.7567554;0.5635217031869992;58590100.34583665;0.4672055603280383;0.16080249317984519;10045473.33781974;0.1330056552752923;272710184.696753
71;153329466.50141853;0.5622427916128186;58446516.1253555;0.4660605716363693;0.16141368450055427;10195651.041737497;0.13317595986018071;272710417.6144012
73;152969135.96437332;0.5609209019707908;58302482.84580532;0.46491200325157855;0.1620234377264672;10350869.881743312;0.13332653702963493;272710707.3865808
75;152611799.25965953;0.5596100012442972;58159256.94096809;0.4637698743812755;0.16264212472537554;10506440.548972115;0.13354871634208443;272710993.2280088
77;152256509.600366;0.5583066610807439;58016242.174640775;0.4626294296899154;0.16329070663653;10658935.539996281;0.13382491123375356;272711253.89339787
81;151511611.1083886;0.555574015606093;57732680.93529768;0.4603682269431671;0.16458774865685355;10967066.82814467;0.1342601721956486;272711838.30132854
83;151147511.0667909;0.5542383691099868;57591495.75880645;0.45924237436381565;0.16526787660908815;11117595.343404487;0.1345814131395091;272712102.75374526
85;150781914.91152036;0.5528972498673004;57451069.27814415;0.4581225727310443;0.16595190126613424;11266865.800695717;0.13490116096249233;272712361.9220555
87;150398933.1489445;0.5514923102793665;57311277.565611824;0.45700783354150204;0.16664380927285827;11413924.151348189;0.13510716551416052;272712656.81430393
89;150023073.05733767;0.5501135233870283;57173247.10770465;0.45590714013287353;0.16734608676712392;11560622.94421655;0.1354149142265596;272712934.1115834
91;149654155.36535183;0.5487602375555979;57035967.703177646;0.4548124364950016;0.1680627920408394;11705772.211797431;0.13580076414124487;272713190.7952597
93;149286147.7028336;0.5474103103424327;56899127.547858514;0.45372123575935047;0.16878683347283252;11849275.334027156;0.13619817857354782;272713437.95013213
95;148916842.7362311;0.5460556239799387;56763026.49560522;0.452635929210085;0.16951398674135654;11991445.924159959;0.13659595199069013;272713687.39112574
97;148551034.21325332;0.5447138439222888;56626797.17598697;0.45154960014053624;0.1702427206556596;12132730.163388535;0.13702636604687835;272713895.3245444
99;148185620.6366297;0.5433736760589948;56489812.01241391;0.4504572440767242;0.17097325140307507;12273089.965724707;0.13746115172044313;272714021.9809636
101;147840060.16398507;0.5421063482042883;56352388.9806401;0.4493613970786206;0.17173044304111174;12410173.47478439;0.13806344594887743;272714128.2401526
103;147510527.50147712;0.5408978016549187;56214261.95156452;0.44825993645089107;0.17249071658258608;12546122.50359872;0.1387750403844864;272714230.0267393
105;147185061.06487334;0.5397041683569006;56075346.630087204;0.44715219009417256;0.17325149535256013;12681244.6878203;0.13951303526025846;272714330.7285732
107;146863675.8734187;0.5385255043258073;55936101.17518023;0.4460418121957345;0.17400410866361238;12817927.662156627;0.1403002797834947;272714429.8528271
109;146545438.2109754;0.5373583810582445;55796185.10263007;0.44492608682086354;0.17475837049111442;12953501.092193589;0.1411071976897144;272714529.7750391
111;146230751.30664012;0.5362042793880448;55654479.00419997;0.443796087642799;0.1755093452096682;13089279.37390469;0.14193089384644259;272714629.3452362
113;145920304.15900248;0.5350657280511998;55510236.237232484;0.4426458607885471;0.17624665223714098;13228190.896038666;0.142787059706417;272714727.3858653
115;145614623.6908947;0.533944659268603;55365562.578378774;0.44149219800201295;0.17698469286338403;13366523.515293434;0.14368286450557433;272714823.83653295
117;145312820.09223002;0.5328378102033838;55220421.271096185;0.4403348061699842;0.17772518409531313;13503484.330854356;0.14460252756625677;272714918.70436937
119;145023948.0845671;0.5317784326950044;55074983.576500356;0.4391750509123541;0.17848881564464958;13636879.295256853;0.1456304279290297;272714986.48337245
121;144739014.6280622;0.5307335038349313;54929450.31752723;0.43801453357382436;0.1792621287885593;13767383.696472645;0.14668183789106065;272715051.1174039
123;144450334.80342412;0.529674806915596;54783450.82154854;0.43685029842107725;0.18003753932871858;13896371.478855267;0.14770243893154666;272715131.84587306
