Datetime,Feed flow temperature in °C,Average return flow temperature in °C,Overall heat load in MW
01/01/16 00:00,96,50,187
01/01/16 01:00,96,50,185
01/01/16 02:00,97,50,191
01/01/16 03:00,98,50,192
01/01/16 04:00,99,50,196
01/01/16 05:00,100,50,207
01/01/16 06:00,103,50,230
01/01/16 07:00,103,50,228
01/01/16 08:00,103,50,217
01/01/16 09:00,102,50,216
01/01/16 10:00,102,50,223
01/01/16 11:00,102,50,232
01/01/16 12:00,102,50,225
01/01/16 13:00,102,50,220
01/01/16 14:00,102,50,222
01/01/16 15:00,100,50,214
01/01/16 16:00,100,50,214
01/01/16 17:00,100,50,222
01/01/16 18:00,100,50,221
01/01/16 19:00,100,50,218
01/01/16 20:00,100,50,214
01/01/16 21:00,100,50,212
01/01/16 22:00,100,50,198
01/01/16 23:00,98,50,180
02/01/16 00:00,96,50,151
02/01/16 01:00,97,50,171
02/01/16 02:00,95,50,163
02/01/16 03:00,95,50,171
02/01/16 04:00,96,50,185
02/01/16 05:00,96,50,192
02/01/16 06:00,98,50,203
02/01/16 07:00,98,50,219
02/01/16 08:00,98,50,219
02/01/16 09:00,100,50,240
02/01/16 10:00,102,50,265
02/01/16 11:00,103,50,266
02/01/16 12:00,103,50,262
02/01/16 13:00,103,50,271
02/01/16 14:00,103,50,254
02/01/16 15:00,105,50,271
02/01/16 16:00,107,50,269
02/01/16 17:00,108,50,284
02/01/16 18:00,109,50,287
02/01/16 19:00,109,50,278
02/01/16 20:00,107,50,263
02/01/16 21:00,108,50,264
02/01/16 22:00,108,50,254
02/01/16 23:00,107,50,246
03/01/16 00:00,107,50,243
03/01/16 01:00,109,50,246
03/01/16 02:00,110,50,244
03/01/16 03:00,111,50,245
03/01/16 04:00,111,50,245
03/01/16 05:00,111,50,254
03/01/16 06:00,111,50,264
03/01/16 07:00,112,50,276
03/01/16 08:00,112,50,279
03/01/16 09:00,111,50,291
03/01/16 10:00,112,50,313
03/01/16 11:00,114,50,323
03/01/16 12:00,114,50,318
03/01/16 13:00,113,50,312
03/01/16 14:00,113,50,316
03/01/16 15:00,112,50,308
03/01/16 16:00,111,50,302
03/01/16 17:00,113,50,318
03/01/16 18:00,113,50,313
03/01/16 19:00,113,50,311
03/01/16 20:00,114,50,311
03/01/16 21:00,116,50,313
03/01/16 22:00,112,50,276
03/01/16 23:00,111,50,255
04/01/16 00:00,111,50,255
04/01/16 01:00,111,50,255
04/01/16 02:00,111,50,254
04/01/16 03:00,112,50,263
04/01/16 04:00,114,50,281
04/01/16 05:00,116,50,302
04/01/16 06:00,117,50,318
04/01/16 07:00,117,50,321
04/01/16 08:00,117,50,328
04/01/16 09:00,117,50,341
04/01/16 10:00,118,50,342
04/01/16 11:00,116,50,325
04/01/16 12:00,114,50,316
04/01/16 13:00,115,50,323
04/01/16 14:00,117,50,340
04/01/16 15:00,116,50,328
04/01/16 16:00,116,50,324
04/01/16 17:00,116,50,328
04/01/16 18:00,116,50,328
04/01/16 19:00,116,50,323
04/01/16 20:00,116,50,321
04/01/16 21:00,116,50,313
04/01/16 22:00,114,50,295
04/01/16 23:00,112,50,265
05/01/16 00:00,110,50,246
05/01/16 01:00,110,50,249
05/01/16 02:00,112,50,271
05/01/16 03:00,114,50,287
05/01/16 04:00,116,50,298
05/01/16 05:00,117,50,297
05/01/16 06:00,117,50,307
05/01/16 07:00,117,50,328
05/01/16 08:00,117,50,341
05/01/16 09:00,117,50,347
05/01/16 10:00,117,50,343
05/01/16 11:00,115,50,313
05/01/16 12:00,115,50,318
05/01/16 13:00,115,50,315
05/01/16 14:00,115,50,316
05/01/16 15:00,114,50,315
05/01/16 16:00,116,50,338
05/01/16 17:00,116,50,334
05/01/16 18:00,115,50,325
05/01/16 19:00,114,50,324
05/01/16 20:00,112,50,296
05/01/16 21:00,110,50,287
05/01/16 22:00,109,50,277
05/01/16 23:00,108,50,257
06/01/16 00:00,108,50,251
06/01/16 01:00,109,50,264
06/01/16 02:00,110,50,269
06/01/16 03:00,112,50,274
06/01/16 04:00,114,50,283
06/01/16 05:00,115,50,291
06/01/16 06:00,116,50,306
06/01/16 07:00,115,50,311
06/01/16 08:00,115,50,321
06/01/16 09:00,114,50,321
06/01/16 10:00,114,50,325
06/01/16 11:00,114,50,321
06/01/16 12:00,113,50,307
06/01/16 13:00,113,50,307
06/01/16 14:00,113,50,302
06/01/16 15:00,112,50,305
06/01/16 16:00,114,50,323
06/01/16 17:00,111,50,308
06/01/16 18:00,113,50,322
06/01/16 19:00,112,50,322
06/01/16 20:00,110,50,305
06/01/16 21:00,108,50,272
06/01/16 22:00,108,50,273
