;Q_in,BHKW;Q_in,SLK;P_out;P_in
2016-01-01 00:00:00;26.7007197585;0.0;11.5;0.0
2016-01-01 01:00:00;26.7007197585;0.0;11.5;0.0
2016-01-01 02:00:00;26.7007197585;0.0;11.5;0.0
2016-01-01 03:00:00;26.7007197585;0.0;11.1987107551;0.0
2016-01-01 04:00:00;26.7007197585;0.0;10.9966905531;0.0
2016-01-01 05:00:00;26.7007197585;0.0;10.4411349975;0.0
2016-01-01 06:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-01 07:00:00;26.7007197585;0.0;9.86411479551;0.0
2016-01-01 08:00:00;26.7007197585;0.0;10.4196703511;0.0
2016-01-01 09:00:00;26.7007197585;0.0;10.4701754016;0.0
2016-01-01 10:00:00;31.708900029;0.0;14.1219933231;0.0
2016-01-01 11:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 12:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 13:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 14:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 16:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 17:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 18:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 20:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 21:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 22:00:00;39.0;0.0;17.9391912692;0.0
2016-01-01 23:00:00;39.0;0.0;17.9391912692;0.0
2016-01-02 00:00:00;26.7007197585;0.0;11.5;0.0
2016-01-02 01:00:00;26.7007197585;0.0;11.5;0.0
2016-01-02 02:00:00;0.0;3.40909090909;5.55111512313e-17;0.366161616162
2016-01-02 03:00:00;0.0;3.40909090909;0.0;0.770202020202
2016-01-02 04:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-02 05:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-02 06:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-02 07:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-02 08:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-02 09:00:00;26.7007197585;0.0;9.25805418944;0.0
2016-01-02 10:00:00;26.7007197585;0.533552673238;8.4696969697;0.0
2016-01-02 11:00:00;28.6005602572;0.0;9.46434349467;0.0
2016-01-02 12:00:00;38.8397971527;0.0;17.8553183307;0.0
2016-01-02 13:00:00;26.7007197585;0.874461764147;8.4696969697;0.0
2016-01-02 14:00:00;26.7007197585;0.0;8.55098348237;0.0
2016-01-02 15:00:00;26.7007197585;0.874461764147;8.4696969697;0.0
2016-01-02 16:00:00;26.7007197585;0.760825400511;8.4696969697;0.0
2016-01-02 17:00:00;39.0;1.2002173514;17.9391912692;0.0
2016-01-02 18:00:00;39.0;1.37067189686;17.9391912692;0.0
2016-01-02 19:00:00;39.0;0.859308260496;17.9391912692;0.0
2016-01-02 20:00:00;26.7007197585;0.419916309602;8.4696969697;0.0
2016-01-02 21:00:00;26.7007197585;0.47673449142;8.4696969697;0.0
2016-01-02 22:00:00;26.7007197585;0.0;8.55098348237;0.0
2016-01-02 23:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-03 00:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-03 01:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-03 02:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-03 03:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-03 04:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-03 05:00:00;26.7007197585;0.0;8.55098348237;0.0
2016-01-03 06:00:00;26.7007197585;0.47673449142;8.4696969697;0.0
2016-01-03 07:00:00;26.7007197585;1.15855267324;8.4696969697;0.0
2016-01-03 08:00:00;26.7007197585;1.32900721869;8.4696969697;0.0
2016-01-03 09:00:00;26.7007197585;2.01082540051;8.4696969697;0.0
2016-01-03 10:00:00;26.7007197585;3.26082540051;8.4696969697;0.0
2016-01-03 11:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-03 12:00:00;26.7007197585;3.00088221869;8.4696969697;0.0
2016-01-03 13:00:00;26.7007197585;2.65997312778;8.4696969697;0.0
2016-01-03 14:00:00;26.7007197585;2.88724585506;8.4696969697;0.0
2016-01-03 15:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-03 16:00:00;26.7007197585;2.63582540051;8.4696969697;0.0
2016-01-03 17:00:00;39.0;0.0;15.1551596841;0.0
2016-01-03 18:00:00;39.0;2.84794462413;17.9391912692;0.0
2016-01-03 19:00:00;39.0;2.7343082605;17.9391912692;0.0
2016-01-03 20:00:00;39.0;2.7343082605;17.9391912692;0.0
2016-01-03 21:00:00;39.0;0.0;15.4076849367;0.0
2016-01-03 22:00:00;30.4289954171;0.0;10.4216063171;0.0
2016-01-03 23:00:00;26.7007197585;0.0;8.50047843187;0.0
2016-01-04 00:00:00;26.7007197585;0.0;8.50047843187;0.0
2016-01-04 01:00:00;26.7007197585;0.0;8.50047843187;0.0
2016-01-04 02:00:00;26.7007197585;0.0;8.55098348237;0.0
2016-01-04 03:00:00;26.7007197585;0.419916309602;8.4696969697;0.0
2016-01-04 04:00:00;26.7007197585;1.44264358233;8.4696969697;0.0
2016-01-04 05:00:00;26.7007197585;2.63582540051;8.4696969697;0.0
2016-01-04 06:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-04 07:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 08:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 09:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 10:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 11:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 12:00:00;39.0;2.95493512326;17.9391912692;0.0
2016-01-04 13:00:00;39.0;2.87228265591;17.9391912692;0.0
2016-01-04 14:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 16:00:00;39.0;2.92891053322;17.9391912692;0.0
2016-01-04 17:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 18:00:00;39.0;3.1561832605;17.9391912692;0.0
2016-01-04 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 20:00:00;39.0;3.30249007868;17.9391912692;0.0
2016-01-04 21:00:00;39.0;2.84794462413;17.9391912692;0.0
2016-01-04 22:00:00;39.0;1.8252173514;17.9391912692;0.0
2016-01-04 23:00:00;39.0;0.12067189686;17.9391912692;0.0
2016-01-05 00:00:00;35.9143008969;0.0;16.3236978148;0.0
2016-01-05 01:00:00;36.4628314448;0.0;16.6108766615;0.0
2016-01-05 02:00:00;39.0;0.0;17.5288970579;0.0
2016-01-05 03:00:00;39.0;0.0;16.7208162498;0.0
2016-01-05 04:00:00;26.7007197585;2.40855267324;8.4696969697;0.0
2016-01-05 05:00:00;39.0;1.93885371504;17.9391912692;0.0
2016-01-05 06:00:00;39.0;2.50703553322;17.9391912692;0.0
2016-01-05 07:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 08:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 09:00:00;39.0;3.40909090909;17.9391912692;0.0
2016-01-05 10:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 11:00:00;39.0;0.826372914445;17.9391912692;0.0
2016-01-05 12:00:00;39.0;0.23985316981;17.9391912692;0.0
2016-01-05 13:00:00;39.0;1.84027652509;17.9391912692;0.0
2016-01-05 14:00:00;39.0;3.01839916959;17.9391912692;0.0
2016-01-05 15:00:00;39.0;2.41754689686;17.9391912692;0.0
2016-01-05 16:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 17:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 18:00:00;39.0;2.98572871504;17.9391912692;0.0
2016-01-05 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 20:00:00;39.0;1.88203553322;17.9391912692;0.0
2016-01-05 21:00:00;39.0;1.37067189686;17.9391912692;0.0
2016-01-05 22:00:00;39.0;0.802490078678;17.9391912692;0.0
2016-01-05 23:00:00;39.0;0.210160533223;17.9391912692;0.0
2016-01-06 00:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 01:00:00;39.0;0.60788780595;17.9391912692;0.0
2016-01-06 02:00:00;39.0;0.347944624132;17.9391912692;0.0
2016-01-06 03:00:00;39.0;0.0;17.3773819064;0.0
2016-01-06 04:00:00;39.0;1.14339916959;17.9391912692;0.0
2016-01-06 05:00:00;39.0;1.59794462413;17.9391912692;0.0
2016-01-06 06:00:00;39.0;2.4502173514;17.9391912692;0.0
2016-01-06 07:00:00;39.0;2.7343082605;17.9391912692;0.0
2016-01-06 08:00:00;39.0;3.30249007868;17.9391912692;0.0
2016-01-06 09:00:00;39.0;3.30249007868;17.9391912692;0.0
2016-01-06 10:00:00;39.0;2.77413102908;17.9391912692;0.0
2016-01-06 11:00:00;39.0;1.00645890724;17.9391912692;0.0
2016-01-06 12:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 13:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 14:00:00;39.0;0.186918620662;17.9391912692;0.0
2016-01-06 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 16:00:00;39.0;2.8720923514;17.9391912692;0.0
2016-01-06 17:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 18:00:00;39.0;3.3593082605;17.9391912692;0.0
2016-01-06 19:00:00;39.0;3.3593082605;17.9391912692;0.0
2016-01-06 20:00:00;39.0;2.39339916959;17.9391912692;0.0
2016-01-06 21:00:00;39.0;0.518399169587;17.9391912692;0.0
2016-01-06 22:00:00;39.0;0.575217351405;17.9391912692;0.0
2016-01-06 23:00:00;39.0;0.664705987769;17.9391912692;0.0
2016-01-07 00:00:00;39.0;0.0397059877686;17.9391912692;0.0
2016-01-07 01:00:00;39.0;0.0;17.9391912692;0.0
2016-01-07 02:00:00;39.0;0.291126442314;17.9391912692;0.0
2016-01-07 03:00:00;39.0;0.0;17.5288970579;0.0
2016-01-07 04:00:00;39.0;0.0;17.1248566538;0.0
