;Speicherstand
2016-01-01 00:00:00;2100.0
2016-01-01 01:00:00;2100.0
2016-01-01 02:00:00;2100.0
2016-01-01 03:00:00;2100.0
2016-01-01 04:00:00;2100.0
2016-01-01 05:00:00;2100.0
2016-01-01 06:00:00;2100.0
2016-01-01 07:00:00;2100.0
2016-01-01 08:00:00;2100.0
2016-01-01 09:00:00;2100.0
2016-01-01 10:00:00;2100.0
2016-01-01 11:00:00;2101.54380873
2016-01-01 12:00:00;2103.43761746
2016-01-01 13:00:00;2105.58142619
2016-01-01 14:00:00;2105.58142619
2016-01-01 15:00:00;2105.58142619
2016-01-01 16:00:00;2108.02523492
2016-01-01 17:00:00;2110.06904365
2016-01-01 18:00:00;2112.16285238
2016-01-01 19:00:00;2114.40666112
2016-01-01 20:00:00;2116.85046985
2016-01-01 21:00:00;2119.39427858
2016-01-01 22:00:00;2122.63808731
2016-01-01 23:00:00;2123.41856096
2016-01-02 00:00:00;2117.03522762
2016-01-02 01:00:00;2110.65189429
2016-01-02 02:00:00;2104.26856096
2016-01-02 03:00:00;2097.88522762
2016-01-02 04:00:00;2091.50189429
2016-01-02 05:00:00;2094.68236794
2016-01-02 06:00:00;2097.31284158
2016-01-02 07:00:00;2097.79159158
2016-01-02 08:00:00;2097.79159158
2016-01-02 09:00:00;2097.79159158
2016-01-02 10:00:00;2093.16555645
2016-01-02 11:00:00;2088.47285464
2016-01-02 12:00:00;2084.04681951
2016-01-02 13:00:00;2079.02078437
2016-01-02 14:00:00;2079.02078437
2016-01-02 15:00:00;2077.99474923
2016-01-02 16:00:00;2073.10204743
2016-01-02 17:00:00;2071.69379241
2016-01-02 18:00:00;2070.08553738
2016-01-02 19:00:00;2069.07728235
2016-01-02 20:00:00;2068.43894902
2016-01-02 21:00:00;2067.80061569
2016-01-02 22:00:00;2067.80061569
2016-01-02 23:00:00;2067.80061569
2016-01-03 00:00:00;2068.43108933
2016-01-03 01:00:00;2068.91156298
2016-01-03 02:00:00;2069.49203663
2016-01-03 03:00:00;2070.02251028
2016-01-03 04:00:00;2070.55298392
2016-01-03 05:00:00;2070.55298392
2016-01-03 06:00:00;2069.91465059
2016-01-03 07:00:00;2068.55528212
2016-01-03 08:00:00;2066.99591365
2016-01-03 09:00:00;2064.63654518
2016-01-03 10:00:00;2060.81051005
2016-01-03 11:00:00;2054.42717671
2016-01-03 12:00:00;2048.04384338
2016-01-03 13:00:00;2044.28447491
2016-01-03 14:00:00;2040.25843977
2016-01-03 15:00:00;2036.76573797
2016-01-03 16:00:00;2030.38240464
2016-01-03 17:00:00;2023.9990713
2016-01-03 18:00:00;2020.65748294
2016-01-03 19:00:00;2017.44922792
2016-01-03 20:00:00;2014.24097289
2016-01-03 21:00:00;2007.85763956
2016-01-03 22:00:00;2002.49827109
2016-01-03 23:00:00;2002.49827109
2016-01-04 00:00:00;2002.49827109
2016-01-04 01:00:00;2002.49827109
2016-01-04 02:00:00;2002.49827109
2016-01-04 03:00:00;2001.85993776
2016-01-04 04:00:00;2000.16723595
2016-01-04 05:00:00;1997.07453415
2016-01-04 06:00:00;1992.91516568
2016-01-04 07:00:00;1989.04024399
2016-01-04 08:00:00;1984.69865563
2016-01-04 09:00:00;1979.4904006
2016-01-04 10:00:00;1974.21547891
2016-01-04 11:00:00;1970.07389055
2016-01-04 12:00:00;1966.60676667
2016-01-04 13:00:00;1963.23662169
2016-01-04 14:00:00;1958.09503333
2016-01-04 15:00:00;1953.75344497
2016-01-04 16:00:00;1949.67852328
2016-01-04 17:00:00;1945.33693492
2016-01-04 18:00:00;1940.99534656
2016-01-04 19:00:00;1936.98709154
2016-01-04 20:00:00;1933.11216984
2016-01-04 21:00:00;1929.77058148
2016-01-04 22:00:00;1927.62899313
2016-01-04 23:00:00;1927.62899313
2016-01-05 00:00:00;1927.62899313
2016-01-05 01:00:00;1927.62899313
2016-01-05 02:00:00;1922.60295799
2016-01-05 03:00:00;1916.51025619
2016-01-05 04:00:00;1910.12692285
2016-01-05 05:00:00;1907.85200116
2016-01-05 06:00:00;1904.9104128
2016-01-05 07:00:00;1900.56882444
2016-01-05 08:00:00;1895.36056942
2016-01-05 09:00:00;1889.75231439
2016-01-05 10:00:00;1884.67715371
2016-01-05 11:00:00;1883.70754283
