;Speicherstand
2016-01-01 00:00:00;105.0
2016-01-01 01:00:00;105.0
2016-01-01 02:00:00;105.0
2016-01-01 03:00:00;105.47875
2016-01-01 04:00:00;105.9575
2016-01-01 05:00:00;106.43625
2016-01-01 06:00:00;107.716723648
2016-01-01 07:00:00;107.716723648
2016-01-01 08:00:00;107.716723648
2016-01-01 09:00:00;107.716723648
2016-01-01 10:00:00;107.716723648
2016-01-01 11:00:00;109.260532378
2016-01-01 12:00:00;111.154341109
2016-01-01 13:00:00;113.29814984
2016-01-01 14:00:00;115.341958571
2016-01-01 15:00:00;117.785767301
2016-01-01 16:00:00;120.229576032
2016-01-01 17:00:00;122.273384763
2016-01-01 18:00:00;124.367193494
2016-01-01 19:00:00;126.611002224
2016-01-01 20:00:00;129.054810955
2016-01-01 21:00:00;131.598619686
2016-01-01 22:00:00;134.842428417
2016-01-01 23:00:00;138.986237147
2016-01-02 00:00:00;141.216710795
2016-01-02 01:00:00;142.287601109
2016-01-02 02:00:00;135.904267776
2016-01-02 03:00:00;129.520934443
2016-01-02 04:00:00;133.05140809
2016-01-02 05:00:00;136.231881738
2016-01-02 06:00:00;138.862355385
2016-01-02 07:00:00;140.692829033
2016-01-02 08:00:00;142.52330268
2016-01-02 09:00:00;142.52330268
2016-01-02 10:00:00;142.52330268
2016-01-02 11:00:00;142.52330268
2016-01-02 12:00:00;142.52330268
2016-01-02 13:00:00;142.52330268
2016-01-02 14:00:00;142.52330268
2016-01-02 15:00:00;142.52330268
2016-01-02 16:00:00;142.52330268
2016-01-02 17:00:00;141.884969347
2016-01-02 18:00:00;141.246636014
2016-01-02 19:00:00;140.238380988
2016-01-02 20:00:00;140.238380988
2016-01-02 21:00:00;140.238380988
2016-01-02 22:00:00;140.238380988
2016-01-02 23:00:00;140.718854636
2016-01-03 00:00:00;141.349328283
2016-01-03 01:00:00;141.829801931
2016-01-03 02:00:00;142.410275578
2016-01-03 03:00:00;142.940749226
2016-01-03 04:00:00;143.471222873
2016-01-03 05:00:00;143.471222873
2016-01-03 06:00:00;143.471222873
2016-01-03 07:00:00;143.471222873
2016-01-03 08:00:00;143.471222873
2016-01-03 09:00:00;143.471222873
2016-01-03 10:00:00;142.83288954
2016-01-03 11:00:00;138.340187737
2016-01-03 12:00:00;134.180819267
2016-01-03 13:00:00;130.421450797
2016-01-03 14:00:00;126.39541566
2016-01-03 15:00:00;126.39541566
2016-01-03 16:00:00;126.39541566
2016-01-03 17:00:00;126.39541566
2016-01-03 18:00:00;126.39541566
2016-01-03 19:00:00;126.39541566
2016-01-03 20:00:00;126.39541566
2016-01-03 21:00:00;126.39541566
2016-01-03 22:00:00;126.39541566
2016-01-03 23:00:00;126.39541566
2016-01-04 00:00:00;126.39541566
2016-01-04 01:00:00;126.39541566
2016-01-04 02:00:00;126.39541566
2016-01-04 03:00:00;126.39541566
2016-01-04 04:00:00;126.39541566
2016-01-04 05:00:00;126.39541566
2016-01-04 06:00:00;122.23604719
2016-01-04 07:00:00;118.361125498
2016-01-04 08:00:00;117.722792165
2016-01-04 09:00:00;112.514537139
2016-01-04 10:00:00;107.239615447
2016-01-04 11:00:00;103.098027088
2016-01-04 12:00:00;103.098027088
2016-01-04 13:00:00;102.459693754
2016-01-04 14:00:00;97.3181053954
2016-01-04 15:00:00;92.9765170364
2016-01-04 16:00:00;88.9015953441
2016-01-04 17:00:00;84.5600069851
2016-01-04 18:00:00;83.9216736518
2016-01-04 19:00:00;79.9134186262
2016-01-04 20:00:00;79.9134186262
2016-01-04 21:00:00;79.9134186262
2016-01-04 22:00:00;79.9134186262
2016-01-04 23:00:00;79.9134186262
2016-01-05 00:00:00;79.9134186262
2016-01-05 01:00:00;79.9134186262
2016-01-05 02:00:00;79.9134186262
2016-01-05 03:00:00;79.9134186262
2016-01-05 04:00:00;79.9134186262
2016-01-05 05:00:00;79.9134186262
2016-01-05 06:00:00;79.9134186262
2016-01-05 07:00:00;75.5718302672
2016-01-05 08:00:00;70.3635752415
2016-01-05 09:00:00;64.7553202159
2016-01-05 10:00:00;59.4137318569
2016-01-05 11:00:00;59.4137318569
2016-01-05 12:00:00;59.4137318569
2016-01-05 13:00:00;59.4137318569
2016-01-05 14:00:00;59.4137318569
2016-01-05 15:00:00;59.4137318569
2016-01-05 16:00:00;54.4054768312
2016-01-05 17:00:00;49.6638884723
2016-01-05 18:00:00;49.0255551389
2016-01-05 19:00:00;44.9506334466
2016-01-05 20:00:00;44.9506334466
2016-01-05 21:00:00;44.9506334466
2016-01-05 22:00:00;44.9506334466
2016-01-05 23:00:00;45.4293834466
2016-01-06 00:00:00;46.0231921774
2016-01-06 01:00:00;46.5019421774
2016-01-06 02:00:00;46.5019421774
2016-01-06 03:00:00;46.5019421774
2016-01-06 04:00:00;46.5019421774
2016-01-06 05:00:00;46.5019421774
2016-01-06 06:00:00;46.5019421774
2016-01-06 07:00:00;46.5019421774
2016-01-06 08:00:00;46.5019421774
2016-01-06 09:00:00;42.6270204851
2016-01-06 10:00:00;41.9886871517
2016-01-06 11:00:00;38.1137654594
2016-01-06 12:00:00;38.1137654594
2016-01-06 13:00:00;38.1137654594
2016-01-06 14:00:00;38.1137654594
2016-01-06 15:00:00;37.4754321261
2016-01-06 16:00:00;33.4671771004
2016-01-06 17:00:00;32.8288437671
2016-01-06 18:00:00;32.8288437671
2016-01-06 19:00:00;32.8288437671
2016-01-06 20:00:00;32.8288437671
2016-01-06 21:00:00;32.8288437671
2016-01-06 22:00:00;32.8288437671
2016-01-06 23:00:00;32.8288437671
2016-01-07 00:00:00;33.3075937671
2016-01-07 01:00:00;33.9514024979
2016-01-07 02:00:00;34.4301524979
2016-01-07 03:00:00;34.4301524979
2016-01-07 04:00:00;34.4301524979
2016-01-07 05:00:00;34.4301524979
2016-01-07 06:00:00;34.4301524979
2016-01-07 07:00:00;33.7918191645
2016-01-07 08:00:00;33.1534858312
2016-01-07 09:00:00;32.5151524979
2016-01-07 10:00:00;32.5151524979
2016-01-07 11:00:00;32.5151524979
2016-01-07 12:00:00;32.5151524979
2016-01-07 13:00:00;32.5151524979
2016-01-07 14:00:00;32.5151524979
2016-01-07 15:00:00;32.5151524979
2016-01-07 16:00:00;32.5151524979
2016-01-07 17:00:00;31.8768191645
2016-01-07 18:00:00;26.4018974722
2016-01-07 19:00:00;21.6603091132
2016-01-07 20:00:00;21.6603091132
2016-01-07 21:00:00;21.6603091132
2016-01-07 22:00:00;21.6603091132
2016-01-07 23:00:00;21.6603091132
2016-01-08 00:00:00;21.6603091132
2016-01-08 01:00:00;21.6603091132
2016-01-08 02:00:00;21.6603091132
2016-01-08 03:00:00;21.6603091132
2016-01-08 04:00:00;21.6603091132
2016-01-08 05:00:00;21.6603091132
2016-01-08 06:00:00;21.6603091132
2016-01-08 07:00:00;21.6603091132
2016-01-08 08:00:00;21.6603091132
2016-01-08 09:00:00;21.6603091132
2016-01-08 10:00:00;21.6603091132
2016-01-08 11:00:00;21.6603091132
2016-01-08 12:00:00;19.0520540876
2016-01-08 13:00:00;14.7104657286
2016-01-08 14:00:00;11.302210703
2016-01-08 15:00:00;11.302210703
2016-01-08 16:00:00;11.302210703
2016-01-08 17:00:00;11.302210703
2016-01-08 18:00:00;11.302210703
2016-01-08 19:00:00;11.302210703
2016-01-08 20:00:00;11.302210703
2016-01-08 21:00:00;11.302210703
2016-01-08 22:00:00;11.302210703
2016-01-08 23:00:00;11.9960194337
2016-01-09 00:00:00;13.8398281645
2016-01-09 01:00:00;15.8836368952
2016-01-09 02:00:00;17.677445626
2016-01-09 03:00:00;17.677445626
2016-01-09 04:00:00;17.677445626
2016-01-09 05:00:00;17.677445626
2016-01-09 06:00:00;17.677445626
2016-01-09 07:00:00;17.677445626
2016-01-09 08:00:00;17.677445626
2016-01-09 09:00:00;17.677445626
2016-01-09 10:00:00;17.677445626
2016-01-09 11:00:00;17.677445626
2016-01-09 12:00:00;17.677445626
2016-01-09 13:00:00;17.677445626
2016-01-09 14:00:00;17.677445626
2016-01-09 15:00:00;17.677445626
2016-01-09 16:00:00;17.677445626
2016-01-09 17:00:00;17.677445626
2016-01-09 18:00:00;18.2212543568
2016-01-09 19:00:00;18.7000043568
2016-01-09 20:00:00;19.1787543568
2016-01-09 21:00:00;19.7725630875
2016-01-09 22:00:00;20.7163718183
2016-01-09 23:00:00;20.7163718183
2016-01-10 00:00:00;20.7163718183
2016-01-10 01:00:00;20.7163718183
2016-01-10 02:00:00;20.7163718183
2016-01-10 03:00:00;22.8968454658
2016-01-10 04:00:00;24.2273191134
2016-01-10 05:00:00;25.3077927609
2016-01-10 06:00:00;26.2382664085
2016-01-10 07:00:00;26.2382664085
2016-01-10 08:00:00;26.2382664085
2016-01-10 09:00:00;26.2382664085
2016-01-10 10:00:00;26.2382664085
2016-01-10 11:00:00;26.2382664085
2016-01-10 12:00:00;26.2382664085
2016-01-10 13:00:00;26.2382664085
2016-01-10 14:00:00;26.2382664085
2016-01-10 15:00:00;26.2382664085
2016-01-10 16:00:00;26.2382664085
2016-01-10 17:00:00;26.2382664085
2016-01-10 18:00:00;26.7170164085
2016-01-10 19:00:00;27.2108251393
2016-01-10 20:00:00;28.30463387
2016-01-10 21:00:00;30.1484426008
2016-01-10 22:00:00;32.8422513316
2016-01-10 23:00:00;33.3210013316
2016-01-11 00:00:00;33.7997513316
2016-01-11 01:00:00;33.7997513316
2016-01-11 02:00:00;33.7997513316
2016-01-11 03:00:00;33.7997513316
2016-01-11 04:00:00;34.2785013316
2016-01-11 05:00:00;34.7572513316
2016-01-11 06:00:00;35.4010600623
2016-01-11 07:00:00;35.4010600623
2016-01-11 08:00:00;35.4010600623
2016-01-11 09:00:00;36.2948687931
2016-01-11 10:00:00;37.1386775238
2016-01-11 11:00:00;38.0824862546
2016-01-11 12:00:00;39.0262949854
2016-01-11 13:00:00;39.0262949854
2016-01-11 14:00:00;39.5050449854
2016-01-11 15:00:00;40.0988537161
2016-01-11 16:00:00;40.6426624469
2016-01-11 17:00:00;40.6426624469
2016-01-11 18:00:00;40.6426624469
2016-01-11 19:00:00;40.6426624469
2016-01-11 20:00:00;41.1214124469
2016-01-11 21:00:00;42.0652211777
2016-01-11 22:00:00;43.4590299084
2016-01-11 23:00:00;45.2028386392
2016-01-12 00:00:00;45.2028386392
2016-01-12 01:00:00;45.2028386392
2016-01-12 02:00:00;45.6815886392
2016-01-12 03:00:00;48.4120622867
2016-01-12 04:00:00;50.4425359343
2016-01-12 05:00:00;50.4425359343
2016-01-12 06:00:00;51.8863446651
2016-01-12 07:00:00;53.5301533958
2016-01-12 08:00:00;54.4739621266
2016-01-12 09:00:00;56.1177708573
2016-01-12 10:00:00;56.7115795881
2016-01-12 11:00:00;56.7115795881
2016-01-12 12:00:00;57.8053883189
2016-01-12 13:00:00;58.7491970496
2016-01-12 14:00:00;59.2430057804
2016-01-12 15:00:00;59.7217557804
2016-01-12 16:00:00;60.2005057804
2016-01-12 17:00:00;61.7943145112
2016-01-12 18:00:00;62.8881232419
2016-01-12 19:00:00;63.8319319727
2016-01-12 20:00:00;65.2257407035
2016-01-12 21:00:00;66.4195494342
2016-01-12 22:00:00;66.4195494342
2016-01-12 23:00:00;66.4195494342
2016-01-13 00:00:00;66.4195494342
2016-01-13 01:00:00;66.8982994342
2016-01-13 02:00:00;67.3770494342
2016-01-13 03:00:00;70.4075230818
2016-01-13 04:00:00;70.4075230818
2016-01-13 05:00:00;70.4075230818
2016-01-13 06:00:00;70.4075230818
2016-01-13 07:00:00;70.4075230818
2016-01-13 08:00:00;70.4075230818
2016-01-13 09:00:00;70.4075230818
2016-01-13 10:00:00;70.4075230818
2016-01-13 11:00:00;70.4075230818
2016-01-13 12:00:00;70.4075230818
2016-01-13 13:00:00;70.4075230818
2016-01-13 14:00:00;70.4075230818
2016-01-13 15:00:00;70.4075230818
2016-01-13 16:00:00;70.4075230818
2016-01-13 17:00:00;70.4075230818
2016-01-13 18:00:00;70.4075230818
2016-01-13 19:00:00;70.4075230818
2016-01-13 20:00:00;70.4075230818
2016-01-13 21:00:00;72.0513318125
2016-01-13 22:00:00;74.8951405433
2016-01-13 23:00:00;75.3738905433
2016-01-14 00:00:00;78.3176992741
2016-01-14 01:00:00;78.3176992741
2016-01-14 02:00:00;78.3176992741
2016-01-14 03:00:00;78.3176992741
2016-01-14 04:00:00;78.7964492741
2016-01-14 05:00:00;79.2751992741
2016-01-14 06:00:00;79.8690080048
2016-01-14 07:00:00;79.8690080048
2016-01-14 08:00:00;79.8690080048
2016-01-14 09:00:00;79.8690080048
2016-01-14 10:00:00;79.8690080048
2016-01-14 11:00:00;80.3477580048
2016-01-14 12:00:00;80.8265080048
2016-01-14 13:00:00;81.3052580048
2016-01-14 14:00:00;81.7990667356
2016-01-14 15:00:00;81.7990667356
2016-01-14 16:00:00;81.7990667356
2016-01-14 17:00:00;81.7990667356
2016-01-14 18:00:00;81.7990667356
2016-01-14 19:00:00;81.7990667356
2016-01-14 20:00:00;81.7990667356
2016-01-14 21:00:00;82.2778167356
2016-01-14 22:00:00;83.7716254664
2016-01-14 23:00:00;86.5654341971
2016-01-15 00:00:00;89.3092429279
2016-01-15 01:00:00;92.1030516586
2016-01-15 02:00:00;94.7468603894
2016-01-15 03:00:00;94.7468603894
2016-01-15 04:00:00;95.2256103894
2016-01-15 05:00:00;95.7043603894
2016-01-15 06:00:00;96.2481691202
2016-01-15 07:00:00;96.2481691202
2016-01-15 08:00:00;96.2481691202
2016-01-15 09:00:00;96.2481691202
2016-01-15 10:00:00;96.2481691202
2016-01-15 11:00:00;96.2481691202
2016-01-15 12:00:00;96.7269191202
2016-01-15 13:00:00;97.2056691202
2016-01-15 14:00:00;97.6844191202
2016-01-15 15:00:00;97.6844191202
2016-01-15 16:00:00;97.6844191202
2016-01-15 17:00:00;97.6844191202
2016-01-15 18:00:00;97.6844191202
2016-01-15 19:00:00;97.6844191202
2016-01-15 20:00:00;98.1631691202
2016-01-15 21:00:00;99.5069778509
2016-01-15 22:00:00;101.000786582
2016-01-15 23:00:00;103.444595312
2016-01-16 00:00:00;105.988404043
2016-01-16 01:00:00;108.332212774
2016-01-16 02:00:00;110.476021505
2016-01-16 03:00:00;112.819830236
2016-01-16 04:00:00;115.063638966
2016-01-16 05:00:00;116.807447697
2016-01-16 06:00:00;117.801256428
2016-01-16 07:00:00;117.801256428
2016-01-16 08:00:00;117.801256428
2016-01-16 09:00:00;117.801256428
2016-01-16 10:00:00;117.801256428
2016-01-16 11:00:00;117.801256428
2016-01-16 12:00:00;117.801256428
2016-01-16 13:00:00;117.801256428
2016-01-16 14:00:00;117.801256428
2016-01-16 15:00:00;117.801256428
2016-01-16 16:00:00;117.801256428
2016-01-16 17:00:00;117.801256428
2016-01-16 18:00:00;117.801256428
2016-01-16 19:00:00;117.801256428
2016-01-16 20:00:00;117.801256428
2016-01-16 21:00:00;118.645065159
2016-01-16 22:00:00;119.438873889
2016-01-16 23:00:00;121.48268262
2016-01-17 00:00:00;121.48268262
2016-01-17 01:00:00;121.48268262
2016-01-17 02:00:00;121.48268262
2016-01-17 03:00:00;121.48268262
2016-01-17 04:00:00;121.48268262
2016-01-17 05:00:00;121.48268262
2016-01-17 06:00:00;121.48268262
2016-01-17 07:00:00;121.48268262
2016-01-17 08:00:00;121.48268262
2016-01-17 09:00:00;121.48268262
2016-01-17 10:00:00;121.48268262
2016-01-17 11:00:00;121.48268262
2016-01-17 12:00:00;121.48268262
2016-01-17 13:00:00;121.48268262
2016-01-17 14:00:00;122.076491351
2016-01-17 15:00:00;122.620300082
2016-01-17 16:00:00;123.099050082
2016-01-17 17:00:00;123.099050082
2016-01-17 18:00:00;123.099050082
