;Q_BHKW_1;Q_EHK_1;Q_GuD_1;Q_ab_HP_1;Q_ab_LT-HP_1;Q_ab_LT-HP_2;Q_SLK_1;Q_EC;Q_zu_TES_1;Status_zu_TES_1;Q_demand;Q_zu_LT-HP_1;Q_zu_LT-HP_2;Q_Sol;Q_ab_TES_1;Status_ab_TES_1;Q_ab_TES_1;Status_ab_TES_1;Speicherstand_TES_1;Q_zu_TES_1;Status_zu_TES_1;P_BHKW_1;P_zu_EHK_1;P_zu_HP_1;Status_HP_1;P_zu_LT-HP_1;P_zu_LT-HP_2;P_spot_market;P_GuD_1;P_source
2016-01-01 00:00:00;0.0;0.0;75.07189041599196;72.50446153167157;0.0;0.0;39.423648052336475;1.4210854715202004e-14;0.0;0.0;187.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14998.5;0.0;0.0;0.0;0.0;35.13662371;1.0;0.0;0.0;98.21441007509969;133.3510337850997;0.0
2016-01-01 01:00:00;0.0;37.423648052336475;75.07189041599196;72.50446153167157;0.0;0.0;0.0;1.4210854715202004e-14;0.0;0.0;185.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14997.00015;0.0;0.0;0.0;37.80166469932978;35.13662371;1.0;0.0;0.0;60.412745375769916;133.3510337850997;0.0
2016-01-01 02:00:00;0.0;43.85569945601944;75.07189041599196;72.0724101279886;0.0;0.0;0.0;0.0;0.0;0.0;191.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14995.500449985;0.0;0.0;0.0;44.298686319211555;35.35770796;1.0;0.0;0.0;53.69463950588815;133.3510337850997;0.0
2016-01-01 03:00:00;0.0;51.68954093666925;57.56493464266363;71.62873206197739;0.0;11.116792358689732;0.0;3.907985046680551e-14;0.0;0.0;191.99999999999997;0.0;8.5;0.0;8.5;1.0;8.5;1.0;14985.500899940002;0.0;0.0;0.0;52.21165751178713;35.58189366;1.0;0.0;2.616792358689733;0.0;90.41034353047687;0.0
2016-01-01 04:00:00;0.0;54.70886492086239;58.92778782853849;71.17824898444324;11.185098266155856;0.0;0.0;0.0;0.0;0.0;196.0;8.5;0.0;0.0;8.5;1.0;8.5;1.0;14975.502349850009;0.0;0.0;0.0;55.26147971804282;35.80654297;1.0;2.685098266155856;0.0;0.0;93.75312095419868;0.0
2016-01-01 05:00:00;0.0;62.68656076929299;62.335019065342166;70.72233470491722;0.0;11.25608546044764;0.0;3.552713678800501e-15;0.0;0.0;207.0;0.0;8.5;0.0;8.5;1.0;8.5;1.0;14965.504799615024;0.0;0.0;0.0;63.319758352821204;36.03446174;1.0;0.0;2.75608546044764;0.0;102.11030555326884;0.0
2016-01-01 06:00:00;0.0;75.0;68.38025604377987;69.31966813758254;0.0;17.30007581863761;0.0;1.4210854715202004e-14;0.0;0.0;230.0;0.0;12.837200754134132;0.0;12.837200754134132;1.0;12.837200754134132;1.0;14951.171048380927;0.0;0.0;0.0;75.75757575757576;36.71748393;1.0;0.0;4.4628750645034785;0.0;116.93793475207924;0.0
2016-01-01 07:00:00;0.0;75.0;68.18992585527104;69.31966813758254;0.0;15.490406007146433;0.0;1.4210854715202004e-14;0.0;0.0;228.0;0.0;11.494368797075243;0.0;11.494368797075243;1.0;11.494368797075243;1.0;14938.181562479014;0.0;0.0;0.0;75.75757575757576;36.71748393;1.0;0.0;3.9960372100711914;1.4210854715202004e-14;116.47109689764697;0.0
2016-01-01 08:00:00;0.0;70.36752375828729;65.8577683898792;69.31966813758254;11.455039714251024;0.0;0.0;2.3092638912203256e-14;0.0;0.0;217.00000000000003;8.5;0.0;0.0;8.5;1.0;8.5;1.0;14928.187744322766;0.0;0.0;0.0;71.07830682655282;36.71748393;1.0;2.955039714251025;0.0;0.0;110.75083047080383;1.4210854715202004e-14
2016-01-01 09:00:00;0.0;69.45656698089375;65.36247549739068;69.79329682090484;0.0;11.38766070081073;0.0;0.0;0.0;0.0;216.00000000000003;0.0;8.5;0.0;8.5;1.0;8.5;1.0;14918.194925548334;0.0;0.0;0.0;70.15814846554925;36.49017739;1.0;0.0;2.8876607008107307;0.0;109.53598655635997;0.0
2016-01-01 10:00:00;0.0;0.0;75.07189041599196;69.79329682090484;78.13481276310318;0.0;0.0;0.0;0.0;0.0;223.0;58.32153994885833;0.0;0.0;58.32153994885833;1.0;58.32153994885833;1.0;14858.381566106924;0.0;0.0;0.0;0.0;36.49017739;1.0;19.813272814244858;0.0;77.04758358085485;133.3510337850997;0.0
2016-01-01 11:00:00;46.06136985726262;0.0;75.07189041599196;69.79329682090484;0.0;41.073442905840594;0.0;1.4210854715202004e-14;0.0;0.0;232.0;0.0;30.65811968517727;0.0;30.65811968517727;1.0;30.65811968517727;1.0;14826.237608265137;0.0;0.0;51.38135867;0.0;36.49017739;1.0;0.0;10.415323220663323;137.8268918444364;133.3510337850997;0.0
2016-01-01 12:00:00;68.74715206229249;0.0;75.07189041599196;69.79329682090484;11.38766070081073;0.0;0.0;0.0;0.0;0.0;225.00000000000003;8.5;0.0;0.0;8.5;1.0;8.5;1.0;14816.25498450431;0.0;0.0;92.56389500644933;0.0;36.49017739;1.0;2.8876607008107307;0.0;186.5370907007383;133.3510337850997;0.0
2016-01-01 13:00:00;63.74715206229249;0.0;75.07189041599196;69.79329682090484;11.38766070081073;0.0;0.0;2.1316282072803006e-14;0.0;0.0;220.0;8.5;0.0;0.0;8.5;1.0;8.5;1.0;14806.27335900586;0.0;0.0;83.48716669171695;0.0;36.49017739;1.0;2.8876607008107307;0.0;177.46036238600593;133.3510337850997;0.0
2016-01-01 14:00:00;0.0;0.0;75.07189041599196;69.79329682090484;0.0;77.13481276310318;0.0;0.0;0.0;0.0;222.0;0.0;57.57511799062463;0.0;57.57511799062463;1.0;57.57511799062463;1.0;14747.217613679335;0.0;0.0;0.0;0.0;36.49017739;1.0;0.0;19.559694772478547;77.30116162262115;133.3510337850997;0.0
2016-01-01 15:00:00;0.0;0.0;75.07189041599196;70.72233470491722;68.20577487909082;0.0;0.0;0.0;0.0;0.0;214.0;51.50539132893329;0.0;0.0;51.50539132893329;1.0;51.50539132893329;1.0;14694.237500589034;0.0;0.0;0.0;0.0;36.03446174;1.0;16.70038355015753;0.0;80.61618849494218;133.3510337850997;0.0
2016-01-01 16:00:00;68.2057748790908;0.0;75.07189041599196;70.72233470491722;0.0;0.0;0.0;0.0;0.0;0.0;214.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14692.768076838975;0.0;0.0;91.58110828490597;0.0;36.03446174;1.0;0.0;0.0;188.89768033000567;133.3510337850997;0.0
2016-01-01 17:00:00;74.6506540790437;0.0;75.07189041599196;70.72233470491722;0.0;0.0;1.5551208000471206;0.0;0.0;0.0;222.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14691.29880003129;0.0;0.0;103.28079178875443;0.0;36.03446174;1.0;0.0;0.0;200.59736383385413;133.3510337850997;0.0
