;Q_BHKW_1;Q_EHK_1;Q_GuD_1;Q_ab_HP_1;Q_ab_LT-HP_1;Q_ab_ST-TES_1;Status_ab_ST-TES_1;Q_SLK_1;Q_HT_EC;Q_HT_TES;Q_zu_ST-TES_1;Status_zu_ST-TES_1;Q_demand;Q_zu_LT-HP_1;Q_LT_TES;Q_Sol_LT;Q_ab_TES_1;Status_ab_TES_1;Speicherstand_ST-TES_1;Q_ab_ST-TES_1;Status_ab_ST-TES_1;Q_zu_ST-TES_1;Status_zu_ST-TES_1;P_BHKW_1;P_zu_EHK_1;P_zu_HP_1;Status_HP_1;P_zu_LT-HP_1;P_spot_market;P_GuD_1;P_source;Q_HT_node;Q_LT_node;Q_zu_TES_1;Status_zu_TES_1;Q_Sol_EC;Q_Sol_node_LT;Q_Sol_zu
2016-01-01 00:00:00;0.0;0.0;75.071890416;72.5044615317;0.0;0.0;-0.0;39.4236480523;0.0;0.0;0.0;-0.0;187.0;0.0;0.0;0.0;0.0;0.0;149.985;0.0;-0.0;0.0;-0.0;0.0;0.0;35.13662371;1.0;0.0;98.2144100751;133.351033785;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0
2016-01-01 01:00:00;0.0;47.4236480523;75.071890416;72.5044615317;0.0;0.0;-0.0;0.0;0.0;0.0;10.0;1.0;185.0;0.0;0.0;0.0;0.0;0.0;159.9700015;0.0;-0.0;10.0;1.0;0.0;47.9026748003;35.13662371;1.0;0.0;50.3117352748;133.351033785;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0
2016-01-01 02:00:00;0.0;53.855699456;75.071890416;72.072410128;0.0;0.0;-0.0;0.0;2.84217094304e-14;0.0;10.0;1.0;191.0;0.0;0.0;0.0;0.0;0.0;169.9540045;0.0;-0.0;10.0;1.0;0.0;54.3996964202;35.35770796;1.0;0.0;43.5936294049;133.351033785;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0
2016-01-01 03:00:00;0.0;0.0;0.0;14.973421155;102.026578845;0.0;-0.0;75.0;1.42108547152e-14;0.0;0.0;-0.0;191.99999999999997;78.0104451177;0.0;0.0;78.0104451177;1.0;169.937009099;0.0;-0.0;0.0;-0.0;0.0;0.0;12.82487485;1.0;24.0161337273;0.0;0.0;36.8410085773;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 04:00:00;0.0;0.0;0.0;14.6892193175;106.310780682;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;196.0;80.7897806795;0.0;0.0;80.7897806795;1.0;169.920015398;0.0;-0.0;0.0;-0.0;0.0;0.0;12.90373289;1.0;25.521000003;0.0;0.0;38.424732893;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 05:00:00;0.0;0.0;0.0;19.4391453955;112.560854604;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;207.0;85.0;0.0;0.0;85.0;1.0;169.903023397;0.0;-0.0;0.0;-0.0;0.0;0.0;15.0427285108;1.0;27.5608546045;0.0;0.0;42.6035831152;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 06:00:00;0.0;0.0;47.5705201456;69.3196681376;113.109811717;0.0;-0.0;0.0;1.42108547152e-14;0.0;0.0;-0.0;230.0;83.9310402736;0.0;0.0;83.9310402736;1.0;169.886033095;0.0;-0.0;0.0;-0.0;0.0;0.0;36.71748393;1.0;29.1787714432;1.42108547152e-14;65.8962553732;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 07:00:00;0.0;0.0;47.3801899571;69.3196681376;111.300141905;0.0;-0.0;0.0;1.42108547152e-14;0.0;0.0;-0.0;228.0;82.5882083166;0.0;0.0;82.5882083166;1.0;169.869044491;0.0;-0.0;0.0;-0.0;0.0;0.0;36.71748393;1.0;28.7119335887;1.42108547152e-14;65.4294175187;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 08:00:00;0.0;0.0;0.0;27.4496028575;114.550397143;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;217.00000000000003;85.0;0.0;0.0;85.0;1.0;169.852057587;0.0;-0.0;0.0;-0.0;0.0;0.0;19.0820440046;1.0;29.5503971425;0.0;0.0;48.6324411471;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 09:00:00;0.0;0.0;0.0;27.1233929919;113.876607008;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;216.00000000000003;85.0;0.0;0.0;85.0;1.0;169.835072381;0.0;-0.0;0.0;-0.0;0.0;0.0;18.6884576455;1.0;28.8766070081;0.0;0.0;47.5650646536;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 10:00:00;0.0;0.0;75.071890416;69.7932968209;78.1348127631;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;223.0;58.3215399489;0.0;0.0;58.3215399489;1.0;169.818088874;0.0;-0.0;0.0;-0.0;0.0;0.0;36.49017739;1.0;19.8132728142;77.0475835809;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 11:00:00;46.0613698573;0.0;75.071890416;69.7932968209;0.0;0.0;-0.0;51.0734429058;1.42108547152e-14;0.0;10.0;1.0;232.0;0.0;0.0;0.0;0.0;-0.0;179.801107065;0.0;-0.0;10.0;1.0;51.38135867;0.0;36.49017739;1.0;0.0;148.242215065;133.351033785;7.1054273576e-15;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 12:00:00;74.650654079;0.0;75.071890416;69.7932968209;0.0;0.0;-0.0;15.4841586841;0.0;0.0;10.0;1.0;225.00000000000003;0.0;0.0;0.0;0.0;-0.0;189.783126954;0.0;-0.0;10.0;1.0;103.280791789;0.0;36.49017739;1.0;0.0;200.141648184;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 13:00:00;74.650654079;0.0;75.071890416;69.7932968209;0.0;0.0;-0.0;10.4841586841;4.26325641456e-14;0.0;10.0;1.0;220.0;0.0;0.0;0.0;0.0;-0.0;199.764148642;0.0;-0.0;10.0;1.0;103.280791789;0.0;36.49017739;1.0;0.0;200.141648184;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 14:00:00;0.0;0.0;75.071890416;69.7932968209;77.1348127631;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;222.0;57.5751179906;0.0;0.0;57.5751179906;1.0;199.744172227;0.0;-0.0;0.0;-0.0;0.0;0.0;36.49017739;1.0;19.5596947725;77.3011616226;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 15:00:00;0.0;0.0;75.071890416;70.7223347049;68.2057748791;0.0;-0.0;0.0;1.42108547152e-14;0.0;0.0;-0.0;214.0;51.5053913289;0.0;0.0;51.5053913289;1.0;199.724197809;0.0;-0.0;0.0;-0.0;0.0;0.0;36.03446174;1.0;16.7003835502;80.6161884949;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 16:00:00;56.9496894186;0.0;75.071890416;70.7223347049;11.2560854604;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;214.0;8.5;0.0;0.0;8.5;1.0;199.70422539;0.0;-0.0;0.0;-0.0;71.1474223625;0.0;36.03446174;1.0;2.75608546045;165.707908947;133.351033785;1.42108547152e-14;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 17:00:00;74.650654079;0.0;75.071890416;70.7223347049;0.0;0.0;-0.0;1.55512080005;0.0;0.0;0.0;-0.0;222.0;0.0;0.0;0.0;0.0;-0.0;199.684254967;0.0;-0.0;0.0;-0.0;103.280791789;0.0;36.03446174;1.0;0.0;200.597363834;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 18:00:00;74.650654079;0.0;75.071890416;70.7223347049;0.0;0.0;-0.0;0.555120800047;0.0;0.0;0.0;-0.0;221.0;0.0;0.0;0.0;0.0;-0.0;199.664286542;0.0;-0.0;0.0;-0.0;103.280791789;0.0;36.03446174;1.0;0.0;200.597363834;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 19:00:00;74.650654079;0.0;75.071890416;70.7223347049;0.0;0.0;-0.0;7.55512080005;0.0;0.0;10.0;1.0;217.99999999999997;0.0;0.0;0.0;0.0;-0.0;209.644320113;0.0;-0.0;10.0;1.0;103.280791789;0.0;36.03446174;1.0;0.0;200.597363834;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 20:00:00;74.650654079;0.0;75.071890416;70.7223347049;0.0;0.0;-0.0;3.55512080005;0.0;0.0;10.0;1.0;214.0;0.0;0.0;0.0;0.0;-0.0;219.623355681;0.0;-0.0;10.0;1.0;103.280791789;0.0;36.03446174;1.0;0.0;200.597363834;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 21:00:00;74.650654079;0.0;75.071890416;70.7223347049;0.0;0.0;-0.0;1.55512080005;0.0;0.0;10.0;1.0;212.0;0.0;0.0;0.0;0.0;-0.0;229.601393345;0.0;-0.0;10.0;1.0;103.280791789;0.0;36.03446174;1.0;0.0;200.597363834;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 22:00:00;62.2057748791;0.0;75.071890416;70.7223347049;0.0;0.0;-0.0;0.0;0.0;0.0;10.0;1.0;198.0;0.0;0.0;0.0;0.0;-0.0;239.578433206;0.0;-0.0;10.0;1.0;80.6890343072;0.0;36.03446174;1.0;0.0;178.005606352;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-01 23:00:00;0.0;0.0;75.071890416;71.628732062;0.0;0.0;-0.0;43.299377522;0.0;0.0;10.0;1.0;180.0;0.0;0.0;0.0;0.0;-0.0;249.554475363;0.0;-0.0;10.0;1.0;0.0;0.0;35.58189366;1.0;0.0;97.7691401251;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 00:00:00;0.0;13.4236480523;75.071890416;72.5044615317;0.0;0.0;-0.0;0.0;0.0;0.0;10.0;1.0;151.0;0.0;0.0;0.0;0.0;-0.0;259.529519915;0.0;-0.0;10.0;1.0;0.0;13.5592404569;35.13662371;1.0;0.0;84.6551696182;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 01:00:00;0.0;0.0;0.0;15.2561239383;80.7438760617;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;171.0;62.0994472555;0.0;0.0;62.0994472555;1.0;259.503566963;0.0;-0.0;0.0;-0.0;0.0;0.0;12.74490215;1.0;18.6444288062;0.0;0.0;31.3893309562;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 02:00:00;0.0;0.0;0.0;15.8172017414;72.1827982586;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;163.0;56.1426242115;0.0;0.0;56.1426242115;1.0;259.477616607;0.0;-0.0;0.0;-0.0;0.0;0.0;12.58159688;1.0;16.040174047;0.0;0.0;28.621770927;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 03:00:00;0.0;0.0;0.0;15.8172017414;80.1827982586;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;171.0;62.364896062;0.0;0.0;62.364896062;1.0;259.451668845;0.0;-0.0;0.0;-0.0;0.0;0.0;12.58159688;1.0;17.8179021966;0.0;0.0;30.3994990766;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 04:00:00;0.0;0.0;0.0;15.5373711904;94.4626288096;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;185.0;73.0640831652;0.0;0.0;73.0640831652;1.0;259.425723678;0.0;-0.0;0.0;-0.0;0.0;0.0;12.66381162;1.0;21.3985456444;0.0;0.0;34.0623572644;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 05:00:00;0.0;0.0;0.0;15.5373711904;101.46262881;0.0;-0.0;75.0;1.42108547152e-14;0.0;0.0;-0.0;191.99999999999997;78.4783786236;0.0;0.0;78.4783786236;1.0;259.399781106;0.0;-0.0;0.0;-0.0;0.0;0.0;12.66381162;1.0;22.9842501859;0.0;0.0;35.6480618059;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 06:00:00;0.0;0.0;0.0;16.8320764131;111.167923587;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;203.0;85.0;0.0;0.0;85.0;1.0;259.373841128;0.0;-0.0;0.0;-0.0;0.0;0.0;13.5714500959;1.0;26.1679235869;0.0;0.0;39.7393736828;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 07:00:00;0.0;0.0;0.0;32.8320764131;111.167923587;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;219.0;85.0;0.0;0.0;85.0;1.0;259.347903743;0.0;-0.0;0.0;-0.0;0.0;0.0;19.9982491926;1.0;26.1679235869;0.0;0.0;46.1661727794;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 08:00:00;0.0;0.0;0.0;32.8320764131;111.167923587;0.0;-0.0;75.0;0.0;0.0;0.0;-0.0;219.0;85.0;0.0;0.0;85.0;1.0;259.321968953;0.0;-0.0;0.0;-0.0;0.0;0.0;19.9982491926;1.0;26.1679235869;0.0;0.0;46.1661727794;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 09:00:00;0.0;7.14283139025;49.5739793004;70.7223347049;112.560854604;0.0;-0.0;0.0;1.42108547152e-14;0.0;0.0;-0.0;240.0;85.0;0.0;0.0;85.0;1.0;259.296036756;0.0;-0.0;0.0;-0.0;0.0;7.21498120227;36.03446174;1.0;27.5608546045;2.22044604925e-14;70.8102975467;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 10:00:00;0.0;24.0650118031;57.2650843679;69.7932968209;113.876607008;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;265.0;85.0;0.0;0.0;85.0;1.0;259.270107152;0.0;-0.0;0.0;-0.0;0.0;24.3080927304;36.49017739;1.0;28.8766070081;4.26325641456e-14;89.6748771285;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 11:00:00;0.0;7.05804430392;75.071890416;69.3196681376;114.550397143;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;266.0;85.0;0.0;0.0;85.0;1.0;259.244180142;0.0;-0.0;0.0;-0.0;0.0;7.12933768072;36.71748393;1.0;29.5503971425;59.9538150319;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 12:00:00;0.0;3.05804430392;75.071890416;69.3196681376;114.550397143;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;262.0;85.0;0.0;0.0;85.0;1.0;259.218255724;0.0;-0.0;0.0;-0.0;0.0;3.08893364032;36.71748393;1.0;29.5503971425;63.9942190723;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 13:00:00;0.0;27.9128566963;59.2170780236;69.3196681376;114.550397143;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;271.0;85.0;0.0;0.0;85.0;1.0;259.192333898;0.0;-0.0;0.0;-0.0;0.0;28.1948047438;36.71748393;1.0;29.5503971425;1.7763568394e-14;94.4626858163;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 14:00:00;0.0;15.8716534302;54.2582812897;69.3196681376;114.550397143;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;254.0;85.0;0.0;0.0;85.0;1.0;259.166414665;0.0;-0.0;0.0;-0.0;0.0;16.0319731618;36.71748393;1.0;29.5503971425;2.13162820728e-14;82.2998542343;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 15:00:00;0.0;27.0708423951;59.6296448781;68.352764847;115.94674788;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;271.0;85.0;0.0;0.0;85.0;1.0;259.140498023;0.0;-0.0;0.0;-0.0;0.0;27.3442852476;37.18358793;1.0;30.9467478797;3.90798504668e-14;95.4746210573;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 16:00:00;0.0;24.729841268;59.4682269309;67.3574521898;117.444479611;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;269.0;85.0;0.0;0.0;85.0;1.0;259.114583974;0.0;-0.0;0.0;-0.0;0.0;24.9796376444;37.65458128;1.0;32.4444796114;2.84217094304e-14;95.0786985358;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 17:00:00;74.650654079;0.0;75.071890416;66.8481867424;0.0;0.0;-0.0;67.4292687626;0.0;0.0;0.0;-0.0;284.0;0.0;0.0;0.0;0.0;-0.0;259.088672515;0.0;-0.0;0.0;-0.0;103.280791789;0.0;37.88949053;1.0;0.0;198.742335044;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 18:00:00;74.650654079;0.0;75.071890416;66.3305921153;0.0;0.0;-0.0;70.9468633897;0.0;0.0;0.0;-0.0;287.0;0.0;0.0;0.0;0.0;-0.0;259.062763648;0.0;-0.0;0.0;-0.0;103.280791789;0.0;38.10234042;1.0;0.0;198.529485154;133.351033785;2.13162820728e-14;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 19:00:00;46.0613698573;0.0;75.071890416;66.3305921153;90.5361476115;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;278.0;64.6497122335;0.0;0.0;64.6497122335;1.0;259.036857371;0.0;-0.0;0.0;-0.0;51.38135867;0.0;38.10234042;1.0;25.886435378;120.743616657;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 20:00:00;0.0;20.4800048211;57.7180633778;67.3574521898;117.444479611;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;263.0;85.0;0.0;0.0;85.0;1.0;259.010953686;0.0;-0.0;0.0;-0.0;0.0;20.6868735567;37.65458128;1.0;32.4444796114;7.1054273576e-15;90.785934448;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 21:00:00;0.0;20.6998151085;58.2238574342;66.8481867424;118.228140715;0.0;-0.0;0.0;2.84217094304e-14;0.0;0.0;-0.0;264.0;85.0;0.0;0.0;85.0;1.0;258.98505259;0.0;-0.0;0.0;-0.0;0.0;20.90890415;37.88949053;1.0;33.2281407149;1.42108547152e-14;92.0265353949;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 22:00:00;0.0;13.6167543637;55.306918179;66.8481867424;118.228140715;0.0;-0.0;0.0;2.84217094304e-14;0.0;0.0;-0.0;254.0;85.0;0.0;0.0;85.0;1.0;258.959154085;0.0;-0.0;0.0;-0.0;0.0;13.7542973371;37.88949053;1.0;33.2281407149;4.26325641456e-14;84.871928582;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-02 23:00:00;0.0;75.0;66.9427934844;67.3574521898;0.0;0.0;-0.0;46.6997543258;0.0;0.0;10.0;1.0;246.0;0.0;0.0;0.0;0.0;-0.0;268.93325817;0.0;-0.0;10.0;1.0;0.0;75.7575757576;37.65458128;1.0;0.0;0.0;113.412157038;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 00:00:00;0.0;75.0;66.9427934844;67.3574521898;0.0;0.0;-0.0;43.6997543258;2.84217094304e-14;0.0;10.0;1.0;242.99999999999997;0.0;0.0;0.0;0.0;-0.0;278.906364844;0.0;-0.0;10.0;1.0;0.0;75.7575757576;37.65458128;1.0;0.0;0.0;113.412157038;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 01:00:00;0.0;75.0;67.1253452649;66.3305921153;0.0;0.0;-0.0;47.5440626198;0.0;0.0;10.0;1.0;246.0;0.0;0.0;0.0;0.0;-0.0;288.878474207;0.0;-0.0;10.0;1.0;0.0;75.7575757576;38.10234042;1.0;0.0;0.0;113.859916178;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 02:00:00;0.0;75.0;67.2095781964;65.7984347887;0.0;0.0;-0.0;45.9919870149;0.0;0.0;10.0;1.0;244.0;0.0;0.0;0.0;0.0;-0.0;298.84958636;0.0;-0.0;10.0;1.0;0.0;75.7575757576;38.30894517;1.0;0.0;0.0;114.066520928;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 03:00:00;0.0;75.0;67.2939423953;65.2529763589;0.0;0.0;-0.0;47.4530812458;0.0;0.0;10.0;1.0;245.0;0.0;0.0;0.0;0.0;-0.0;308.819701401;0.0;-0.0;10.0;1.0;0.0;75.7575757576;38.51587189;1.0;0.0;1.42108547152e-14;114.273447648;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 04:00:00;0.0;75.0;67.2939423953;65.2529763589;0.0;0.0;-0.0;47.4530812458;0.0;0.0;10.0;1.0;245.0;0.0;0.0;0.0;0.0;-0.0;318.788819431;0.0;-0.0;10.0;1.0;0.0;75.7575757576;38.51587189;1.0;0.0;1.42108547152e-14;114.273447648;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 05:00:00;0.0;75.0;67.2939423953;65.2529763589;0.0;0.0;-0.0;56.4530812458;0.0;0.0;10.0;1.0;254.0;0.0;0.0;0.0;0.0;-0.0;328.756940549;0.0;-0.0;10.0;1.0;0.0;75.7575757576;38.51587189;1.0;0.0;1.42108547152e-14;114.273447648;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 06:00:00;0.0;75.0;67.2939423953;65.2529763589;0.0;0.0;-0.0;66.4530812458;0.0;0.0;10.0;1.0;264.0;0.0;0.0;0.0;0.0;-0.0;338.724064855;0.0;-0.0;10.0;1.0;0.0;75.7575757576;38.51587189;1.0;0.0;1.42108547152e-14;114.273447648;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 07:00:00;0.0;27.1094564479;62.5819345363;64.6974803574;121.611128658;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;276.0;85.0;0.0;0.0;85.0;1.0;338.690192449;0.0;-0.0;0.0;-0.0;0.0;27.3832893413;38.72151659;1.0;36.6111286584;5.3290705182e-14;102.71593459;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 08:00:00;0.0;29.2343746713;63.4570163128;64.6974803574;121.611128658;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;279.0;85.0;0.0;0.0;85.0;1.0;338.656323429;0.0;-0.0;0.0;-0.0;0.0;29.5296713852;38.72151659;1.0;36.6111286584;3.19744231092e-14;104.862316634;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 09:00:00;0.0;38.2841460691;66.7385097807;65.2529763589;120.724367791;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;291.0;85.0;0.0;0.0;85.0;1.0;338.622457797;0.0;-0.0;0.0;-0.0;0.0;38.6708546153;38.51587189;1.0;35.7243677913;2.13162820728e-14;112.911094297;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 10:00:00;0.0;53.3167812036;73.3746097805;64.6974803574;121.611128658;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;313.0;85.0;0.0;0.0;85.0;1.0;338.588595551;0.0;-0.0;0.0;-0.0;0.0;53.8553345491;38.72151659;1.0;36.6111286584;6.39488462184e-14;129.187979798;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 11:00:00;0.0;55.1828763284;75.071890416;63.5533711563;123.482087565;0.0;-0.0;5.70977453385;5.68434188608e-14;0.0;0.0;-0.0;323.0;85.0;0.0;0.0;85.0;1.0;338.554736692;0.0;-0.0;0.0;-0.0;0.0;55.7402791196;39.1286671;1.0;38.4820875655;1.42108547152e-14;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 12:00:00;0.0;55.1828763284;75.071890416;63.5533711563;123.482087565;0.0;-0.0;0.709774533845;5.68434188608e-14;0.0;0.0;-0.0;318.0;85.0;0.0;0.0;85.0;1.0;338.520881218;0.0;-0.0;0.0;-0.0;0.0;55.7402791196;39.1286671;1.0;38.4820875655;1.42108547152e-14;133.351033785;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
2016-01-03 13:00:00;0.0;52.0349430512;73.3044043782;64.1312220132;122.529430557;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;312.0;85.0;0.0;0.0;85.0;1.0;338.48702913;0.0;-0.0;0.0;-0.0;0.0;52.5605485366;38.92580238;1.0;37.5294305574;2.13162820728e-14;129.015781474;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0
